,Group
CEO,0.4203263199072381
accountant,0.3238238689092699
administrator,0.21407728510101923
agronomist,0.6346509830297538
bodyguard,0.7583927025648736
bookbinder,0.2851051799559353
builder,1.4769470968389096
cashier,-1.5231949985215243
chauffeur,1.1747891858214585
colonel,1.3861591625349445
doctor,0.10983054022650116
electrician,1.2237610251094087
farmer,1.578700082431144
farmhand,0.6303447581819687
fisherman,2.147356322134821
hairdresser,-1.6969192752232616
hawker,0.05724332264762193
housekeeper,-3.1266358826410503
manager,-0.05712701806634725
midwife,-4.293909759444862
molder,0.4824646954369495
nurse,-2.8393515244015815
paralegal,-1.4893324833707227
programmer,0.8265572832347731
salesperson,-0.47425966976015277
scientist,0.21181958096028924
scrivener,1.3098381988215535
secretary,-2.407217731983304
sergeant,1.2660675956348006
soldier,1.5540519097309624
solicitor,-0.12500486616129797
teacher,-1.2140912643578126
tradesperson,0.3292737612334555
welder,0.8454636125417603
