,Group
CEO,0.0214850331826325
accountant,0.027871983452067147
administrator,-0.3532716167752193
agronomist,0.45247887109833357
bodyguard,1.240222130664899
bookbinder,0.2050952643067525
builder,0.6389275049969646
cashier,-1.1515304995465125
chauffeur,1.045243452107633
colonel,1.1804275027628122
doctor,0.09933212363202834
electrician,1.146760122141983
farmer,1.3629415341198865
farmhand,1.2203451398127445
fisherman,1.936381785339432
hairdresser,-1.1784841062004867
hawker,0.6643680562658262
housekeeper,-3.311347849103394
manager,-0.08314334723090516
midwife,-3.2706677096446137
molder,0.5220582365477849
nurse,-2.8222028260666296
paralegal,-1.2933319555873608
programmer,0.11975037868570546
salesperson,-0.4187919155148559
scientist,-0.1344571445851461
scrivener,0.6250195019839296
secretary,-1.8256059616380997
sergeant,1.282745769206621
soldier,1.7752215849544521
solicitor,0.07424920755338556
teacher,-1.0883264040771425
tradesperson,0.3391054518907252
welder,0.9511307018776459
