,Group
CEO,0.18023449415442824
accountant,-0.1558816809884489
administrator,-0.2535948124371612
agronomist,0.4533412099307401
bodyguard,0.9777805033287414
bookbinder,0.8428182194055548
builder,1.2525633833741638
cashier,-1.7746746800969826
chauffeur,1.8765203656577416
colonel,2.184258719278496
doctor,0.5901278945990783
electrician,1.4146775926445379
farmer,1.8357155661984803
farmhand,0.6792050631641752
fisherman,2.718206745303788
hairdresser,-1.1606767133704985
hawker,0.15963000282586973
housekeeper,-3.8042105558079244
manager,0.0696340619720618
midwife,-4.554506604307789
molder,-0.3140482243938033
nurse,-2.7911086547763415
paralegal,-1.4183341919730474
programmer,0.4592716622060281
salesperson,-0.4445461824973224
scientist,-0.040417053995210936
scrivener,1.0624827597443034
secretary,-3.067475603060425
sergeant,1.1578111833998637
soldier,1.5009659500430932
solicitor,0.1897442674589752
teacher,-1.0507516011418196
tradesperson,0.09334406359292237
welder,1.1318928500862382
