predictor,unique_r2,relative_r2
"male_perc:C(valence, Treatment(reference='-val'))",0.00024036481072442495,0.40178572957925096
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00010728021361183782,0.17932599520512976
"male_perc:C(dominance, Treatment(reference='-dom'))",8.110083347001584e-05,0.135565424269171
"C(syntactic_role):C(valence, Treatment(reference='-val'))",6.675156997959508e-05,0.11157967825648411
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",5.520508486989151e-05,0.0922789622744055
male_perc:C(syntactic_role),4.7538771264399315e-05,0.0794642104150019
"C(valence, Treatment(reference='-val'))",1.1102230246251565e-16,1.8558114501049682e-13
C(syntactic_role),1.1102230246251565e-16,1.8558114501049682e-13
male_perc,1.1102230246251565e-16,1.8558114501049682e-13
"C(dominance, Treatment(reference='-dom'))",0.0,0.0
