predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(syntactic_role),0.25272192621805306,0.01060908817834069,0.5062029305859047,500,0,0.49925022347369663
male_perc,0.22227746865619896,0.010609088178340642,0.44522257217959926,500,0,0.49925022347369663
C(tense):C(syntactic_role),0.006416825801413813,0.00033015669875862845,0.012852925246115365,500,0,0.49925022347369663
"C(tense):C(valence, Treatment(reference='-val'))",0.00468458695364325,0.00025997935282622773,0.009383244580340304,500,0,0.49925022347369663
C(tense),0.004195452980806708,0.00024092278666602545,0.008403507466887991,500,0,0.49925022347369663
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.003266124437225188,0.00019945043589412702,0.0065420590390527205,500,0,0.49925022347369663
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.002230813365841483,0.0001623989375461677,0.0044683272254138805,500,0,0.49925022347369663
C(syntactic_role),0.0016996463177772214,0.00014937741028965727,0.003404397710533561,500,0,0.49925022347369663
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0009735284373774858,6.468887584237683e-05,0.001949980974678075,500,0,0.49925022347369663
"C(valence, Treatment(reference='-val'))",0.0007838503053602537,6.278730844409281e-05,0.0015700549914757353,500,0,0.49925022347369663
