profession,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5,profession_embedding_6,profession_embedding_7,profession_embedding_8,profession_embedding_9,profession_embedding_10
colonel,22216.67084361671,1862.3569924985572,1254.8819957727765,3469.8595786788055,794.8007771536508,308.8396332745807,2221.7299319335248,221.14105110689698,910.721772818015,-125.00820411439716
sergeant,16701.516750797196,1387.5704138455346,826.9093227316765,1774.1771751793365,797.9687217197018,506.0966936005012,1403.6484005675613,553.965873154499,911.9673106195694,-223.7079469166847
soldier,56133.98021639921,3940.88944631602,3459.4616712387815,5533.65697763337,129.44424827688655,4146.951808536339,4044.1706973803707,1641.161265570069,3939.6948462050013,-1990.2595458944697
CEO,76109.38321955357,-6834.999948665258,5819.975081457916,9879.97410094922,-4374.697370431839,-5469.848200627217,-4676.455310726855,1742.7285101554437,1144.5104634364832,-1943.3615773557226
administrator,41842.51482216315,-2943.225879034075,-2143.999863637484,1020.0488777424614,-920.3552747186695,20.308131550781177,2331.046509525914,-2413.929656288115,-3683.2684152972756,-3545.0507915236763
scientist,77721.63646709739,-1297.1105141532646,7294.652476136998,6463.9316607460905,-4669.020604940976,7003.090034755907,-3273.690936160205,-1664.8714407643822,-946.0611372199819,2161.239099188897
doctor,258850.15650480206,26053.902328795855,-10200.67672322927,-1158.6908552697507,-77.7962665636529,-1205.556909653257,-1425.8225623923338,-917.0803428354786,295.8602638242986,164.45133741542173
teacher,166249.3615716935,-1884.3835143020265,22112.298345193736,-10779.062582435816,1843.476455595527,-1604.990668003925,741.2812678543735,-990.9636749272067,275.7750717251606,61.247562574691486
manager,220804.2545314004,-26541.018523563922,-10941.42706648704,139.44436741463124,4343.450270515408,807.6856163405753,-78.22511750434609,-163.891097035888,651.9474901401549,637.3586830393768
solicitor,7875.050863454133,182.49295283975084,-17.797520755712707,-216.87748253059308,-165.30107847246376,149.70474625024067,133.12015718802337,-101.37658698145407,-131.67553696854296,-37.54920957009049
programmer,35304.107548862856,-1607.4565459440296,-149.8564880797633,-3295.4615809587667,-2629.2698263928264,3707.9747270350026,-1059.3028401549611,-821.1890262480435,-1883.9389985720447,-2775.739586418916
midwife,3805.0292062811136,179.65160613157158,152.66135122950337,-98.02373220064433,106.74150196445198,36.11769756104871,-85.20376004351522,332.7135025317542,-141.5973120170669,36.60573088009233
accountant,7798.9910965343015,-408.9787919082896,70.92163060173598,-350.3570041738993,-249.7814594626153,108.38706218703891,-166.5391189588003,135.8582618803017,122.08926447574132,-114.85682616288085
paralegal,1128.330600068715,-147.07818924315535,86.50585348756066,-82.34714726786214,-25.528626001733944,-0.012644134715781453,-99.76777789600332,87.47234040698565,12.884970113707313,26.09187202369446
cashier,6258.201658160592,77.13500092265215,-386.27053706660973,44.70976849096368,173.1177703644658,-98.05085969470494,439.44459003344485,20.479032479049838,-95.9653768334756,-112.31022025071411
scrivener,2477.2991464875004,-161.33124868707984,-43.1968019941259,-324.2646120786794,-152.8182373939244,52.1964884245678,-85.59755429411142,-52.64689405695439,-118.41199304737965,-28.85940736127699
salesperson,3269.739372189637,-119.46540022112707,-109.15357544394254,-230.17215738527983,-210.36531760434036,222.14239493880964,-39.469871638722054,-16.98062658618831,-3.1858179580181396,-111.70451389052243
bodyguard,5892.356740412435,418.08793213319075,331.7027896589845,425.9698398689171,92.76243427137912,240.4236390546052,291.9681063807339,297.38040631339175,334.38336470975526,-101.52920307207077
agronomist,574.677197055537,-23.14400069197753,13.210695938855338,41.55465388875353,-14.876270050529392,-13.514619165866172,-1.3366432973599782,-11.897982708660974,-6.02420824110646,-1.3081571867328898
fisherman,5711.296005904241,257.43451954036453,374.74387900128,594.613641358586,-49.4261367424937,388.33312569757953,291.87955708267293,93.49249222318109,263.6170290484661,-102.76724313273981
farmer,33238.02005391699,263.7596199984623,2077.499692229349,2996.326211171565,-436.6310129140994,944.7058479044103,952.9042782479867,611.899351618379,1300.3404758341492,-759.4658280331594
welder,3253.9392645610324,-234.1009584715586,15.241786844638304,-152.51420259134687,-247.572994059753,176.40156544855068,-62.12807856455306,64.49509221443391,15.980289293919698,-106.934848573193
molder,198.6725731892433,-10.68945683878647,17.830388871993414,9.710987018914953,-19.24661651650839,5.260910363687433,-15.088879863514743,3.33210350703604,11.02162299127801,1.1906798883286378
bookbinder,224.95957658263222,-1.1313803876118016,32.44268848535167,20.490954790934587,0.3467619391644338,26.595222406413452,4.162440555879104,23.37107295046887,20.339674952399637,4.6715050380204595
electrician,6234.48816292808,-623.9060756570861,-78.94140208907683,-582.2561951418085,-343.5742084594588,-37.84280996063307,-276.53466356553577,31.85269137764358,-11.649184245635517,-249.4832280528349
tradesperson,202.62526466428233,-20.806166349147542,-3.2300012475532314,-27.830292447287274,-20.770325189343115,14.341357082346235,-15.079611818938936,4.48666268358287,3.7091610046107157,-1.966160017664444
chauffeur,3683.7084009779223,-221.93472524011617,6.5826422698707665,-281.7325047307871,-217.5377156516744,62.76097191291777,-128.39407151859518,225.2987521844438,269.5712088166767,0.8302266739160297
housekeeper,3625.3882052264325,262.6887026028084,224.7631236843344,182.207700864824,187.6135102673118,116.50134477078245,153.93877714715305,302.9020399397249,62.25942365113113,30.25707465900347
farmhand,302.89257154648647,5.18237890300611,27.176430477601876,37.2942433524698,-3.387174946390063,14.270717437504313,15.905936327229988,15.661341408854751,17.322835764144727,-5.090892570503854
builder,50307.153322255115,-6114.472908817694,-5025.155618547272,-6783.69550175504,-11282.924035221387,-1397.064178929281,3796.415603103398,1317.8183354765142,456.649658427956,1145.6516166678052
hawker,895.7520287782565,16.21081995155097,72.22024377266602,137.26233127982718,-9.956540709998594,30.215035176019487,59.48937220702642,-1.2876223421749646,-4.2200191203380655,7.685214648328838
nurse,63194.11391895558,2848.9512089827012,1958.9424220392493,-175.38494283765232,1738.748904478288,1459.106962322975,182.46017970347512,7379.188971757852,-3616.2809409899496,268.83877301322326
secretary,58785.9388752711,1115.654723965897,4872.830072518486,12257.102872615114,364.9151383738865,-2854.76914710178,4695.379270773031,-1709.3355000584527,-2667.9781463424556,1816.3382102460482
hairdresser,1172.367691775735,75.18226668729903,106.68030264695857,-38.789284059401375,9.332040333094845,118.31294247438403,-18.277455509887062,103.39341026987027,49.60470869590214,-7.172526487195729
