profession,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5
colonel,0.9726645107801132,0.18565620770463023,-0.01980883244813628,-0.026488060892212267,0.04131647134140761
sergeant,0.9765214626722437,0.15954644712719668,0.011174688527706166,-0.03162039839850698,0.04040631121102179
soldier,0.984056966751922,0.13825832404807434,-0.017726962247860654,-0.013243769080456633,0.02643722047443732
CEO,0.9861667029855594,0.009039935862898456,-0.047086429211556646,0.01394684327354699,-0.023103209034108535
administrator,0.9800931088809688,-0.04484599273834583,-0.062202755383683916,-0.04397990656593194,0.031682134069254624
scientist,0.9888734584136526,0.056330953188687645,-0.025431142794569067,0.003674938726044026,-0.0007407184383484573
doctor,0.9877481975259277,0.033502748617765685,-0.00039420751434144063,-0.03972470190346886,0.027100232046717035
teacher,0.9879793506954849,0.0014476802752760073,0.007555611640547307,-0.015201442854000173,-0.007116826741712876
manager,0.9887941777398149,-0.06836239584434683,-0.024600998227930805,-0.02310134388120089,-0.0012950990028978277
solicitor,0.9749643032498986,-0.02586425665586748,-0.00892099464589669,-0.05078615051740726,0.0007106137017209028
programmer,0.9762545848145132,-0.10521501030491563,0.01957396441238235,-0.049753575618745195,0.03317783109721565
midwife,0.9729955537225017,0.02374726227586238,0.04965881582213293,-0.02975841896051254,0.005359767430905441
accountant,0.9854915123773672,-0.06457030597647817,-0.013824394369778784,-0.012791717527557159,-0.030289423160779053
paralegal,0.9473159513029797,-0.10738427160477106,0.006255292601482644,0.03503453901407642,-0.1127077806274002
cashier,0.9795251355479295,-0.02333635600815448,-0.006923348429681876,-0.05031304449978808,0.021240926765429307
scrivener,0.8904018933778187,-0.20754318609823225,0.08730056269040018,-0.2495947724138851,0.19294647796627404
salesperson,0.9753588712311869,-0.11591039393106158,-0.022478512172284366,-0.027085477240488716,-0.011142007855874084
bodyguard,0.985012043976845,0.11578511669899078,-0.0022345453947137774,-0.013959978792589896,0.013516508313377612
agronomist,0.9347855015641001,0.00014253709297873832,-0.1044384577076821,0.012123630632204271,-0.03948186330007004
fisherman,0.9837752584174007,0.12758054554651183,-0.020932352542685786,-0.0029798354226150217,0.02104122206905994
farmer,0.9844816208005409,0.08099335687605881,-0.0288950343516343,0.00460452487838656,-0.001574953152640798
welder,0.8829970850185453,-0.16504512772402855,-0.042655932824549575,0.3376648675333951,0.27329141270946766
molder,0.9241944847268024,0.00015175355486167052,-0.010814392856017468,0.11107831317692905,-0.13341708685886983
bookbinder,0.9427659405943772,0.16313237425443222,0.001055052390092906,0.05237493772287106,-0.030740108951987852
electrician,0.9402296851800515,-0.17752404175200526,-0.05397703464401753,0.025841060003798707,-0.07783167638529309
tradesperson,0.9437972125624025,-0.17365759910222556,-0.05154683669592544,0.04222451966962592,-0.09784094097637401
chauffeur,0.9227240073616282,-0.14234703674139015,-0.0178425113153413,0.038381371290121896,-0.1636157135956027
housekeeper,0.9808223445959863,0.11535704149616013,0.014728744444436696,-0.020294575361474162,0.013309928827330869
farmhand,0.9066866636130682,0.21812809965213445,-0.049781719374926967,0.03574737325896432,-0.0006645602491351406
builder,0.9490147062509552,-0.19707485122297913,-0.03833197970627057,-0.0500986789958047,0.008966138215570798
hawker,0.9589763609577403,0.14901705541558205,-0.01905901113280958,0.00810235705449428,0.025000698624122554
binman,0.7975543925747258,-0.0017548852740193752,0.5921621827427213,0.06923472244202925,-0.03523099084326274
