,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
Group,1.5411449058846374,0.029097200710161596,-0.11413331527881793
C(semantic_role)[T.patient],0.029097200710161596,0.002049919646750976,-0.0013793961697014987
C(syntactic_role)[T.subject],-0.11413331527881793,-0.0013793961697014987,0.030244626890809097
