semantic_role,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
agent,0.09955363669820438,-0.05312508187710724,-0.04373535867722267,-0.025357793708362497,-0.02831728774580916,-0.024455429631548814,-0.04955298585767301,-0.010535698591238513,-0.06168458848881567,-0.04942263976414599,-0.06410809475275016,-0.04250491462352332,0.05219465451602734,-0.04899343750831794,-0.028843978514410118
patient,-0.09955363669614375,0.05312508187712694,0.04373535867733183,0.025357793708244925,0.02831728774574624,0.0244554296315721,0.04955298585776972,0.010535698591131987,0.06168458848904019,0.049422639764362494,0.06410809475300193,0.042504914623558605,-0.05219465451684724,0.04899343750833958,0.028843978515794566
