predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
"male_perc:C(valence, Treatment(reference='-val'))",0.12111072067328753,0.00986405239868566,0.2245623968557415,500,0,0.5393187923225136
male_perc:C(semantic_role),0.10921812562232257,0.009513500564486676,0.20251125526701458,500,0,0.5393187923225136
male_perc,0.10157763398980597,0.00926860716926119,0.18834432516689012,500,0,0.5393187923225136
male_perc:C(tense),0.10042993730111772,0.00919528935219636,0.18621627640421706,500,0,0.5393187923225136
male_perc:C(syntactic_role),0.09348370532016459,0.008965860965465396,0.17333663623621923,500,0,0.5393187923225136
"C(tense):C(dominance, Treatment(reference='-dom'))",0.002540328831756763,0.00018702375264697705,0.004710254617342616,500,0,0.5393187923225136
C(syntactic_role):C(tense),0.0024434696820656143,0.00018061173544893153,0.004530659262851006,500,0,0.5393187923225136
"C(tense):C(valence, Treatment(reference='-val'))",0.0023320381121354505,0.00018426038931774176,0.004324043859278109,500,0,0.5393187923225136
C(semantic_role):C(tense),0.002258162705397509,0.000187201989083361,0.004187064751949388,500,0,0.5393187923225136
C(tense),0.002096136999656493,0.00018422392549910554,0.003886638161874025,500,0,0.5393187923225136
C(semantic_role):C(syntactic_role),0.0009668621648847522,1.3078337011601384e-05,0.0017927470331991825,500,0,0.5393187923225136
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.00032195293988168563,1.673015028497024e-05,0.0005969622131934858,500,0,0.5393187923225136
"C(dominance, Treatment(reference='-dom'))",0.00029104407849568024,1.6928436421999042e-05,0.0005396512835058701,500,0,0.5393187923225136
C(syntactic_role),0.0001935202702168195,1.257080530205475e-05,0.00035882352510552615,500,0,0.5393187923225136
"C(valence, Treatment(reference='-val'))",4.3853542939050525e-05,2.1703486268772477e-06,8.131284050051426e-05,500,0,0.5393187923225136
C(semantic_role),1.1300088384842866e-05,9.255779761131356e-07,2.0952521116833982e-05,500,0,0.5393187923225136
