,Group
CEO,0.06580391744842568
accountant,0.2095276399142934
administrator,-0.3244825933225962
agronomist,-0.7740136731131547
bodyguard,1.428497348724834
bookbinder,-0.21886827770238262
builder,0.6739664980241346
cashier,-0.8446977854564981
chauffeur,1.305321581906158
colonel,1.1836272425263963
doctor,0.17543594917285107
electrician,1.2284803471386014
farmer,1.4532741726874854
farmhand,1.096536425031361
fisherman,2.2087997440184512
hairdresser,-0.8680736929076078
hawker,0.2422567471325255
housekeeper,-3.0581879653622277
manager,-0.025873352011816262
midwife,-2.9453146761382545
molder,0.13048996116492426
nurse,-2.747497786999823
paralegal,-0.7841569843359097
programmer,0.11781242791166345
salesperson,-0.015532293788003738
scientist,-0.13660802518390333
scrivener,-0.463726623461242
secretary,-1.7523767277416706
sergeant,1.2876791804719587
soldier,1.8266216075632387
solicitor,0.2363157071956097
teacher,-1.0337603838416176
tradesperson,0.027276819037725136
welder,1.0954475252413922
