predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(semantic_role),0.13301269605394347,0.010234232640464582,0.23270721763328805,500,0,0.5715881845295907
male_perc,0.13269514373935926,0.010234232640464585,0.23215165626379342,500,0,0.5715881845295907
male_perc:C(tense),0.13216471587578635,0.01020715833498321,0.23122366671129865,500,0,0.5715881845295907
"male_perc:C(dominance, Treatment(reference='-dom'))",0.12957584792709362,0.010152136352982254,0.22669441292550996,500,0,0.5715881845295907
C(syntactic_role):C(tense),0.01345525280161678,0.0007223072670597457,0.02354011710842181,500,0,0.5715881845295907
C(semantic_role):C(syntactic_role),0.010090448875018783,0.0005577749799895946,0.017653354544623915,500,0,0.5715881845295907
C(syntactic_role),0.007252284181871327,0.0005232036218010611,0.012687953282029192,500,0,0.5715881845295907
"C(dominance, Treatment(reference='-dom')):C(tense)",0.0051687462784859375,0.00028516767261576936,0.009042780131537788,500,0,0.5715881845295907
C(semantic_role):C(tense),0.0033693528105678584,0.00026199000310179007,0.005894720887802798,500,0,0.5715881845295907
C(tense),0.0030058777578975183,0.0002533710568742195,0.005258817168117838,500,0,0.5715881845295907
"C(valence, Treatment(reference='-val'))",0.0010741155294498297,5.521391428497577e-18,0.0018791772792396194,500,0,0.5715881845295907
"C(dominance, Treatment(reference='-dom'))",0.0003635773100545674,2.2778081574198728e-05,0.0006360826201363602,500,0,0.5715881845295907
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0003601253884451816,2.2571865435236375e-05,0.0006300434442002329,500,0,0.5715881845295907
