predictor,unique_r2,relative_r2
"C(valence, Treatment(reference='-val'))",0.001074115529449804,0.25631742286397574
"C(dominance, Treatment(reference='-dom')):C(tense)",0.000979506367470795,0.2337407298426937
C(semantic_role):C(syntactic_role),0.0009066775414265926,0.21636150340936888
male_perc:C(tense),0.0005227081978520509,0.12473445780263435
male_perc:C(semantic_role),0.0003175523145844128,0.07577787367105647
C(syntactic_role):C(tense),0.00027785730273222065,0.06630540738642825
C(semantic_role):C(tense),6.155109143968218e-05,0.014688007667448528
"male_perc:C(dominance, Treatment(reference='-dom'))",4.011237200418627e-05,0.009572061417211447
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",1.0487046433471647e-05,0.0025025359391826186
C(tense),0.0,0.0
C(syntactic_role),0.0,0.0
"C(dominance, Treatment(reference='-dom'))",0.0,0.0
male_perc,0.0,0.0
