predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
log_frequency:lex_emb_norm,0.04579729937328812,0.000185073090607227,0.659612187298812,500,0,0.06943064463504434,OLS fixed-effect R2
C(tense):lex_emb_norm,0.0020169334907585075,0.0001795231560023343,0.029049614926670044,500,0,0.06943064463504434,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.0019566640685787324,0.00017343249202539116,0.028181562750335294,500,0,0.06943064463504434,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0018888894703221438,0.00017847625414035088,0.0272054145579508,500,0,0.06943064463504434,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0016545662040450397,0.00016610404656068885,0.023830488867590264,500,0,0.06943064463504434,OLS fixed-effect R2
lex_emb_norm,0.0016536675682146445,0.00016992257943203412,0.023817545939649458,500,0,0.06943064463504434,OLS fixed-effect R2
C(tense):C(syntactic_role),0.0013924624992277372,9.416472698484952e-05,0.020055445351934806,500,0,0.06943064463504434,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.0013769547082565401,0.00015765285550928474,0.01983208877714406,500,0,0.06943064463504434,OLS fixed-effect R2
C(tense):log_frequency,0.001152098360148823,0.00012185297690578912,0.016593513803662918,500,0,0.06943064463504434,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0010925431004749787,7.886261371366868e-05,0.015735747611416096,500,0,0.06943064463504434,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0010579569214904732,7.846662934867348e-05,0.01523760764503231,500,0,0.06943064463504434,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.0009274401025756267,4.224527875192673e-05,0.013357791900833249,500,0,0.06943064463504434,OLS fixed-effect R2
C(tense):C(semantic_role),0.0008958680567322619,7.319184644788682e-05,0.01290306407842399,500,0,0.06943064463504434,OLS fixed-effect R2
C(tense),0.0008647455157803112,7.600019154325382e-05,0.012454810412977798,500,0,0.06943064463504434,OLS fixed-effect R2
C(semantic_role):log_frequency,0.0008458470134323249,0.00012714600140121445,0.01218261788981566,500,0,0.06943064463504434,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0007520799714843784,0.00012152629427854801,0.010832104115374648,500,0,0.06943064463504434,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.0007146273626111688,0.00011138194046547092,0.010292679354592492,500,0,0.06943064463504434,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.0006998930189571524,0.00011243756239352927,0.010080462634850566,500,0,0.06943064463504434,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0006966203174363541,4.348682324179866e-05,0.01003332636616113,500,0,0.06943064463504434,OLS fixed-effect R2
log_frequency,0.0005898241805580222,9.324866507591345e-05,0.008495156334186117,500,0,0.06943064463504434,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0005801716966300303,4.701867983236277e-05,0.008356132939275566,500,0,0.06943064463504434,OLS fixed-effect R2
C(syntactic_role),0.0004711393243653812,4.218218554392598e-05,0.00678575471741449,500,0,0.06943064463504434,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00014042753879534088,6.836064181844948e-06,0.002022558475922052,500,0,0.06943064463504434,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00010598389622718019,6.447936348282526e-06,0.0015264714418867142,500,0,0.06943064463504434,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",7.258999631517216e-05,6.5815243170409486e-06,0.0010455037065655183,500,0,0.06943064463504434,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",2.860599457945989e-05,3.6483957844342353e-07,0.0004120081950819356,500,0,0.06943064463504434,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",2.891575847732364e-06,2.5106617957527126e-07,4.1646968178556614e-05,500,0,0.06943064463504434,OLS fixed-effect R2
C(semantic_role),1.8533079108116191e-06,1.649009158374545e-07,2.6692938263116498e-05,500,0,0.06943064463504434,OLS fixed-effect R2
