,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5914270233788463,0.007005920985306751,-0.10208528997150007
carpenter,2.755488326865722,0.08280368090514581,-0.159501694332566
cashier,-1.0896897504349041,0.039982755759924646,-0.009139582025238412
ceo,0.7342999557279517,-0.007046871374595389,-0.08738191891322976
cleaner,-0.9361841748750974,-0.04806517312001835,0.3385739537206837
cook,-0.28124919269248805,0.030822765661301446,0.3542481886096239
designer,0.14134550035923485,0.005177486031563683,-0.0037127826271823954
driver,1.1257106265819075,-0.01406051866748204,-0.24302532696552712
lawyer,1.0376193101305695,0.03665433319119736,0.039909893750521265
manager,0.4029040582798833,-0.005672280699222319,-0.2013603862457187
receptionist,-1.8217397573606784,-0.04418185254115307,0.09382824851514439
salesperson,0.3323769552281617,-0.008139965699630302,-0.09426738793441414
secretary,-1.998028305048659,-0.018859584144634674,0.028453016176403324
teacher,-0.9942805762391371,-0.05642069628964029,0.045461068249664935
