,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6175356381491333,0.01596035301329132,-0.03733243351884557
carpenter,2.449129985527488,0.17397532157181506,-0.021916819721341796
cashier,-0.9265472370442607,-0.036311365326947426,0.1788070268537682
ceo,0.3702499812768252,0.09665428801683593,0.03785016364851316
cleaner,-0.6054492822955506,-0.10036581718401816,-0.15703260876796618
cook,-0.15165423648142348,0.015224908999980375,0.14135245861504916
designer,-0.026451260761500332,0.03833216666568136,0.1697988313523738
driver,1.2066460850885976,0.021680275041098786,-0.11999534314965901
lawyer,1.0214074933100945,-0.025807726599816765,-0.3452050124550075
manager,0.38143342584468826,0.004845972220566326,0.02279311635504165
receptionist,-1.9296779672539692,-0.052486134015408185,0.008307906436278899
salesperson,0.044407310628516945,-0.011270339220747525,0.0741117725609331
secretary,-1.6729389128956431,-0.07617230830700719,-0.03175916685037397
teacher,-0.778091022887069,-0.0642595948649699,0.0802201086350369
