,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.44817251780904543,0.05350377551964665,0.04130474234866991
carpenter,2.0366046713819856,0.033556156821665066,-0.18128922986009816
cashier,-0.2365527575783538,0.01125011676895146,-0.012689490036387882
ceo,-0.6990556349874265,-0.0330358481853394,-0.09768274546719044
cleaner,-0.013081505730540219,-0.023586699040419653,-0.18636451486169156
cook,-0.32352665064233493,-0.028873443996796942,-0.06767280548565782
designer,-0.12747018712799985,0.030152007465975197,0.11689906884900739
driver,1.4110929029492838,-0.05149645873134692,0.14756092434449633
lawyer,0.35521335366935336,0.054769473744269305,-0.04568414170639669
manager,0.6008968456327426,0.036316635066782066,0.436902987804171
receptionist,-1.6287252530167131,0.056131682613879415,-0.15479673855627396
salesperson,-0.26475386292115854,0.018036379010462497,0.20951863211778698
secretary,-0.8109776292453401,-0.1879694148568731,-0.19615942200164382
teacher,-0.7478368102150919,0.031245637798766598,-0.00984726749032736
