,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5576639990722823,0.021570084696827387,0.15831629846040746
carpenter,2.440104351241096,0.18210277545067874,0.06074657644098235
cashier,-0.8558883935946772,0.016813965153694613,-0.010104406262920494
ceo,0.43003367805251924,-0.0009479501931361638,-0.029228151549569873
cleaner,-0.7432063321205326,-0.03996762748030412,-0.051620864465385004
cook,-0.10246251019783376,0.03435942643126409,-0.00443990735604939
designer,0.26056758520438417,-0.03573306555492282,-0.007034622922950011
driver,1.0412481881514914,-0.013221413896191293,-0.12426010619324568
lawyer,0.9932589858786542,-0.07141615241258331,0.09842471331240679
manager,0.5164931622894031,0.04147893094674287,-0.018983967548735766
receptionist,-2.180942952518578,-0.02493187265739913,0.08884717865651659
salesperson,0.22155612846805708,-0.02826357667242613,-0.07263304573133823
secretary,-1.8960382348500089,-0.06472629726724076,0.013268636337586069
teacher,-0.6823876552015116,-0.017117226548936958,-0.10129833117842942
