term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.85328139281013,0.6989763997830437,75.61525884023457,0.0,51.48320450191155,54.22335828370871
C(tense)[T.past perfect],0.310091382039388,0.2560864821153384,1.210885398861961,0.22595802211177113,-0.1918685858889151,0.8120513499676911
C(tense)[T.present continuous],-0.10705968004465255,0.25608648211533586,-0.4180606456081316,0.6759086411844801,-0.6090196479729506,0.39490028788364556
C(tense)[T.present perfect],-0.1251019118667201,0.25608648211533774,-0.4885143129514191,0.6251925874491362,-0.627061879795022,0.3768580560615818
C(tense)[T.simple future],0.45397872745116774,0.2560864821153368,1.7727555304801437,0.07628910628586863,-0.04798124047713226,0.9559386953794677
C(tense)[T.simple past],0.0745881112617932,0.25608648211533813,0.2912614154627641,0.7708553407282362,-0.42737185666650934,0.5765480791900958
C(semantic_role)[T.patient],-0.08332458932347162,0.14241004334207555,-0.5851033211423303,0.5584868694133819,-0.36246521478007365,0.19581603613313045
C(syntactic_role)[T.subject],-0.431278483403056,0.15494899549639707,-2.7833577237555196,0.005386540552141942,-0.7349969466636972,-0.1275600201424148
C(valence)[T.-val],0.266913167290034,0.14905796881807723,1.7906668754878652,0.0733665193554574,-0.02525818290908144,0.5590845174891494
C(dominance)[T.-dom],-0.31934158317189687,0.1490579688180772,-2.1423985963584946,0.032177145441467464,-0.6115129333710123,-0.027170232972781483
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.045387649536130725,0.06556059433235535,-0.6923007638710665,0.488758970722631,-0.1738942132430266,0.08311891417076514
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.08174285888673816,0.06556059433235535,-1.2468291314192155,0.21247923209434919,-0.21024942259363402,0.04676370482015771
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.0746265411376929,0.06556059433235538,-1.1382834749694042,0.25501994486837654,-0.20313310484458882,0.05388002256920302
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.11838722229005515,0.06556059433235545,-1.8057679844984065,0.07097422260961839,-0.24689378599695122,0.010119341416840913
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.04445838928223258,0.06556059433235538,-0.6781266969126839,0.49770161421899445,-0.1729649529891285,0.08404817442466334
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020477215,0.0655605943323552,0.11425950445937806,0.9090335813410151,-0.12101564268641835,0.13599748472737277
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351560446,0.06556059433235523,-1.0606577658995784,0.28886219294630633,-0.1980439172225001,0.05896921019129116
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.04370536804198613,0.06556059433235524,0.6666408150668154,0.5050116380640014,-0.08480119566490951,0.17221193174888177
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.0928012847900914,0.06556059433235528,-1.4155040193754371,0.1569411130556488,-0.22130784849698715,0.03570527891680432
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.032197952270524265,0.06556059433235531,0.49111745551449354,0.6233504163896778,-0.09630861143637151,0.16070451597742005
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.110020955403652,0.037851426786017196,-2.906652793450184,0.003658423473757908,-0.1842142545524621,-0.035827656254841925
C(semantic_role)[T.patient]:C(valence)[T.-val],0.03756713867187038,0.03785142678601722,0.9924893686107532,0.3209745494148827,-0.03662616047693974,0.1117604378206805
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.03864237467447932,0.037851426786017224,-1.0208961182080005,0.30731979070372967,-0.11283567382328946,0.035550924474330815
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03250427246094525,0.037851426786017245,-0.858733084084236,0.39050123821203786,-0.10669757160975543,0.04168902668786493
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940754702,0.037851426786017245,2.1236665624779496,0.033714025939237884,0.006190510258736848,0.1545771085563572
C(valence)[T.-val]:C(dominance)[T.-dom],-0.04989064534505018,0.0378514267860172,-1.3180651188419776,0.18750157122120312,-0.12408394449386027,0.024302653803759913
log_frequency,-2.967842502495153,0.09389468385032904,-31.6082059259711,1.79335511709165e-212,-3.1518872521626577,-2.7837977528276485
C(tense)[T.past perfect]:log_frequency,0.03888529818829857,0.022512099289300376,1.7273066224783444,0.08413278014336893,-0.005241094364380271,0.08301169074097742
C(tense)[T.present continuous]:log_frequency,0.003374689925174531,0.022512099289300383,0.14990560772706185,0.8808410621699253,-0.04075170262750433,0.04750108247785338
C(tense)[T.present perfect]:log_frequency,0.021087630669911237,0.0225120992893004,0.9367243098440763,0.3489151646422134,-0.023038761882767652,0.06521402322259012
C(tense)[T.simple future]:log_frequency,0.06463244818708479,0.022512099289300338,2.8710093784014012,0.004097244805675911,0.020506055634406016,0.10875884073976355
C(tense)[T.simple past]:log_frequency,0.025899159336834333,0.02251209928930042,1.1504550954580997,0.24997444875801725,-0.018227233215844598,0.07002555188951326
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189558491,0.01299736658470117,-1.1482831612309743,0.25086963020806957,-0.040401041808214744,0.010551727429097765
C(valence)[T.-val]:log_frequency,0.006019884250610086,0.01299736658470116,0.46316184216085166,0.6432549489218253,-0.01945650036804615,0.031496268869266326
C(dominance)[T.-dom]:log_frequency,-0.012768771536175791,0.012997366584701143,-0.9824122027307881,0.32591234219492726,-0.038245156154832,0.012707613082480413
lex_emb_norm,-14.740814797935869,0.5926376915463034,-24.873232007019848,6.509832201092742e-134,-15.90245517108022,-13.579174424791518
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314523,0.3942825686631436,-1.2882262904840704,0.19768667253617153,-1.2807659076248232,0.2649155659619187
C(tense)[T.present continuous]:lex_emb_norm,0.17112752420342014,0.3942825686631434,0.43402254576875177,0.6642781853580604,-0.6017132125899504,0.9439682609967907
C(tense)[T.present perfect]:lex_emb_norm,0.07439794899235865,0.3942825686631428,0.18869195573269404,0.8503367579117097,-0.6984427878010108,0.847238685785728
C(tense)[T.simple future]:lex_emb_norm,-0.5982394978472368,0.39428256866314193,-1.5172861936951287,0.12921509082519525,-1.3710802346406044,0.17460123894613078
C(tense)[T.simple past]:lex_emb_norm,-0.18675854523758445,0.3942825686631465,-0.4736667559786057,0.6357443177940576,-0.9595992820309611,0.5860821915557921
C(semantic_role)[T.patient]:lex_emb_norm,0.20827923018168348,0.14749028734727784,1.4121555658188742,0.1579244868425644,-0.08081927784980114,0.4973777382131681
C(syntactic_role)[T.subject]:lex_emb_norm,0.46232311735046255,0.2276391471544433,2.0309473266335702,0.04227758233886872,0.016123309922100648,0.9085229247788245
C(valence)[T.-val]:lex_emb_norm,-0.24524315354008133,0.22763914715444317,-1.0773329482459122,0.2813485234159979,-0.6914429609684429,0.2009566538882803
C(dominance)[T.-dom]:lex_emb_norm,0.46875576251352913,0.22763914715444303,2.059205406333293,0.039491440103869235,0.022555955085167778,0.9149555699418905
log_frequency:lex_emb_norm,3.391248328345836,0.09600335461322679,35.32426905297546,7.768013284494039e-263,3.203070333144353,3.579426323547319
profession_embedding_1,-40.58928502580193,0.5994442894478397,-67.71152172154237,0.0,-41.76426714051785,-39.414302911086004
