profession,Group,C(syntactic_role)[T.subject]
accountant,0.3489361354007745,-0.12525479399800857
carpenter,1.9895520013869694,-0.11628893091054324
cashier,-0.61111530055088,-0.005023014833732929
ceo,0.9259958820536229,-0.22163632737906017
cleaner,-0.6813742464094357,0.09278141740422512
cook,-0.20542343845279212,0.5691515283484206
designer,-0.12021122403469854,0.2492320855476786
driver,1.1312644410330495,-0.2895558135591039
lawyer,0.4693528875922639,-0.08669964722813643
manager,0.4992823887148665,-0.10379551560262945
receptionist,-1.7147671662607413,-0.11446254051718048
salesperson,0.7622318673947546,-0.4497567631541973
secretary,-1.9950202260902015,0.46848749947159274
teacher,-0.7987040017807117,0.13282081641150462
