profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5578548092717032,0.02166519968419397,0.15783453782096424
carpenter,2.440459578593689,0.18146340832940364,0.06066717106243931
cashier,-0.8557561723598371,0.01651433162945713,-0.010058168414835192
ceo,0.4299494749210038,-0.0008727662028659913,-0.029139458821024186
cleaner,-0.7433067535663805,-0.039900120290165014,-0.05148316938243555
cook,-0.10235282282323557,0.03410770866569455,-0.004402925056857953
designer,0.2604229864401051,-0.0354474921836716,-0.007037402237737284
driver,1.0409483003424458,-0.013007638598000743,-0.12388578421721856
lawyer,0.9930509700183736,-0.07066057770536666,0.09806641676933248
manager,0.51653969670914,0.04130021943110899,-0.01889954797637114
receptionist,-2.1806756652965382,-0.025161766960758725,0.08856288875502558
salesperson,0.22136105614518115,-0.02808502876923599,-0.07242617793276585
secretary,-1.8960112151468438,-0.06469038730147361,0.013192511276801065
teacher,-0.6824842433383773,-0.01722508973118752,-0.10099089164585626
