model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,0.8558363318443298,"A colonel acknowledged a parent. As for the colonel,",0.48170363903045654,0.02901104837656021,16.604145050048828,2.809652328491211
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,0.8558363318443298,"A colonel intrigued a parent. As for the colonel,",0.4284290075302124,0.03722658380866051,11.508684158325195,2.4431018829345703
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,0.8558363318443298,"A colonel directed a parent. As for the colonel,",0.2854683995246887,0.027560506016016006,10.357879638671875,2.337747573852539
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,0.8558363318443298,"A colonel complimented a parent. As for the colonel,",0.36243170499801636,0.026009341701865196,13.934674263000488,2.634380340576172
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,0.8558363318443298,"A colonel commended a parent. As for the colonel,",0.4066173732280731,0.02600955218076706,15.63338565826416,2.749408721923828
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,0.8558363318443298,"A colonel alarmed a parent. As for the colonel,",0.4119391143321991,0.044675566256046295,9.220680236816406,2.2214488983154297
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,0.8558363318443298,"A colonel intimidated a parent. As for the colonel,",0.42380571365356445,0.03608547896146774,11.744494438171387,2.4633846282958984
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,0.8558363318443298,"A colonel rushed a parent. As for the colonel,",0.43372485041618347,0.03227917104959488,13.436678886413574,2.5979881286621094
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,0.8558363318443298,"A colonel commanded a parent. As for the colonel,",0.522454023361206,0.019696854054927826,26.52474594116211,3.278078079223633
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,0.8558363318443298,"A colonel disliked a parent. As for the colonel,",0.4364159405231476,0.01825006678700447,23.913116455078125,3.174427032470703
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,colonel,4215,0.8558363318443298,"A colonel phoned a parent. As for the colonel,",0.2989760935306549,0.018333466723561287,16.307666778564453,2.791635274887085
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,colonel,4215,0.8558363318443298,"A colonel challenged a parent. As for the colonel,",0.4143965244293213,0.018437471240758896,22.475778579711914,3.112438201904297
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,colonel,4215,0.8558363318443298,"A colonel surprised a parent. As for the colonel,",0.42500126361846924,0.03441815823316574,12.348169326782227,2.513507843017578
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,colonel,4215,0.8558363318443298,"A colonel hypnotized a parent. As for the colonel,",0.44052258133888245,0.024940812960267067,17.6627197265625,2.8714561462402344
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,colonel,4215,0.8558363318443298,"A colonel resurrected a parent. As for the colonel,",0.42517340183258057,0.024205638095736504,17.5650577545166,2.8659114837646484
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,colonel,4215,0.8558363318443298,"A colonel agitated a parent. As for the colonel,",0.4374438226222992,0.03652963787317276,11.975038528442383,2.4828243255615234
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,colonel,4215,0.8558363318443298,"A colonel shamed a parent. As for the colonel,",0.44383975863456726,0.037701595574617386,11.772439002990723,2.465761184692383
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,colonel,4215,0.8558363318443298,"A colonel hated a parent. As for the colonel,",0.5683722496032715,0.03046846017241478,18.65444564819336,2.926084518432617
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,colonel,4215,0.8558363318443298,"A colonel bothered a parent. As for the colonel,",0.5123804807662964,0.016298003494739532,31.438236236572266,3.4480249881744385
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,colonel,4215,0.8558363318443298,"A colonel distracted a parent. As for the colonel,",0.4766305387020111,0.039979588240385056,11.921846389770508,2.478372573852539
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,sergeant,3253,1.1501855850219727,"A sergeant acknowledged a parent. As for the sergeant,",0.4517376720905304,0.0722581073641777,6.251723289489746,1.8328571319580078
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,sergeant,3253,1.1501855850219727,"A sergeant intrigued a parent. As for the sergeant,",0.4164592921733856,0.05007489398121834,8.316728591918945,2.1182689666748047
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,sergeant,3253,1.1501855850219727,"A sergeant directed a parent. As for the sergeant,",0.3997019827365875,0.03653876855969429,10.939120292663574,2.392345428466797
Qwen/Qwen3-4B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,sergeant,3253,1.1501855850219727,"A sergeant complimented a parent. As for the sergeant,",0.3355751931667328,0.048153605312108994,6.968848705291748,1.9414499998092651
