,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.0032817949433455265,0.003340627463045991,0.00042867960220905054,-0.0003248860867160214,-0.0010327191652926928,0.0007404202187751437,-0.0010763876207165982,-0.0005853092593186587,-0.0016757255049094867,0.0007317575910368221,-0.0002703349849882693,-0.0006199196361705212,-0.0009752853302801936,-0.00019472715297388902,-0.0022526309068736814
C(profession)[T.carpenter],0.003340627463045991,0.007568930838778375,0.001475301310601171,-0.0001532574277732899,-0.0017551093031810661,0.0021298264956006174,-0.0019122431169171232,-0.0008208931686327455,-0.0035402966072380524,0.0021444352933670395,-0.00018267193543770383,-0.0010273724574264783,-0.0019240922790123018,-4.277974066467132e-05,-0.005420562245801905
C(profession)[T.cashier],0.00042867960220905054,0.001475301310601171,0.0005997534351598682,-5.8698889386549684e-05,-0.0003478355740328575,0.0003549381427614857,-0.00037620773535581176,-0.00017897730225667447,-0.0006732356117056005,0.00035834298478956163,-6.423023733434913e-05,-0.00021752146601274763,-0.0003811360521936185,-3.9663859313969e-05,-0.0009937457469187862
C(profession)[T.ceo],-0.0003248860867160214,-0.0001532574277732899,-5.8698889386549684e-05,0.00036630920341559816,8.022708687629075e-06,-5.3416175388302106e-05,7.691899396166548e-06,-9.033656815757143e-06,1.4072065092063675e-05,-5.0833640522313946e-05,-2.2627704367857852e-05,-1.3551429820747219e-05,-6.904969479890629e-06,-2.6989571921175053e-05,3.289866112505911e-05
C(profession)[T.cleaner],-0.0010327191652926928,-0.0017551093031810661,-0.0003478355740328575,8.022708687629075e-06,0.0006537173937076933,-0.0004578835139517359,0.00041405327138824673,0.000178425880793372,0.0007370387896959471,-0.0004571865053361394,3.478285622007093e-05,0.00021113235821264018,0.0003943081326788747,1.592083247111519e-06,0.0011043945907626602
C(profession)[T.cook],0.0007404202187751437,0.0021298264956006174,0.0003549381427614857,-5.3416175388302106e-05,-0.0004578835139517359,0.0009107740440566056,-0.0004942968857188579,-0.00020525639531995558,-0.000929034547800776,0.0005804833605001458,-3.7029391094277136e-05,-0.0002618552975014154,-0.0005007999050016196,-3.518765408551899e-07,-0.0014300791242374555
C(profession)[T.designer],-0.0010763876207165982,-0.0019122431169171232,-0.00037620773535581176,7.691899396166548e-06,0.00041405327138824673,-0.0004942968857188579,0.0007450781078541688,0.00022743659849657987,0.0008592990817092414,-0.0004880442945105227,6.693516547196834e-05,0.00026575996287345714,0.00047337977045848467,3.0389702216041178e-05,0.0012633482317865332
C(profession)[T.driver],-0.0005853092593186587,-0.0008208931686327455,-0.00017897730225667447,-9.033656815757143e-06,0.000178425880793372,-0.00020525639531995558,0.00022743659849657987,0.0004905074045171041,0.0003927262280009438,-0.00018887727271756002,5.244097380523024e-05,0.0001374507657787265,0.00022492929729801361,3.530293686011124e-05,0.0005441049665677703
C(profession)[T.lawyer],-0.0016757255049094867,-0.0035402966072380524,-0.0006732356117056005,1.4072065092063675e-05,0.0007370387896959471,-0.000929034547800776,0.0008592990817092414,0.0003927262280009438,0.0018636895456987275,-0.0009683828138910742,0.00019539741546917695,0.0006168477613137163,0.0010669726860488725,0.00012735235119038763,0.0027744809500410603
C(profession)[T.manager],0.0007317575910368221,0.0021444352933670395,0.00035834298478956163,-5.0833640522313946e-05,-0.0004571865053361394,0.0005804833605001458,-0.0004880442945105227,-0.00018887727271756002,-0.0009683828138910742,0.0009676036115574913,-2.5665277507041207e-05,-0.00026568050275055556,-0.0005217101641083523,1.2483252142780403e-05,-0.0015293975150638102
C(profession)[T.receptionist],-0.0002703349849882693,-0.00018267193543770383,-6.423023733434913e-05,-2.2627704367857852e-05,3.478285622007093e-05,-3.7029391094277136e-05,6.693516547196834e-05,5.244097380523024e-05,0.00019539741546917695,-2.5665277507041207e-05,0.00047440662714967553,9.504606576137405e-05,0.00012201839252501322,6.127817079275916e-05,0.0001917056187335276
C(profession)[T.salesperson],-0.0006199196361705212,-0.0010273724574264783,-0.00021752146601274763,-1.3551429820747219e-05,0.00021113235821264018,-0.0002618552975014154,0.00026575996287345714,0.0001374507657787265,0.0006168477613137163,-0.00026568050275055556,9.504606576137405e-05,0.0005830854707598367,0.00037177911451311116,8.83122977648285e-05,0.0008455115008215229
C(profession)[T.secretary],-0.0009752853302801936,-0.0019240922790123018,-0.0003811360521936185,-6.904969479890629e-06,0.0003943081326788747,-0.0005007999050016196,0.00047337977045848467,0.00022492929729801361,0.0010669726860488725,-0.0005217101641083523,0.00012201839252501322,0.00037177911451311116,0.0008940781561874411,0.0001276774835403573,0.0016122195550702465
C(profession)[T.teacher],-0.00019472715297388902,-4.277974066467132e-05,-3.9663859313969e-05,-2.6989571921175053e-05,1.592083247111519e-06,-3.518765408551899e-07,3.0389702216041178e-05,3.530293686011124e-05,0.00012735235119038763,1.2483252142780403e-05,6.127817079275916e-05,8.83122977648285e-05,0.0001276774835403573,0.0005064584944094783,0.00014646476253866628
C(syntactic_role)[T.subject],-0.0022526309068736814,-0.005420562245801905,-0.0009937457469187862,3.289866112505911e-05,0.0011043945907626602,-0.0014300791242374555,0.0012633482317865332,0.0005441049665677703,0.0027744809500410603,-0.0015293975150638102,0.0001917056187335276,0.0008455115008215229,0.0016122195550702465,0.00014646476253866628,0.0055191157442381665
