predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
C(tense):lex_emb_norm,0.01041611070731274,0.000983781377739595,0.11451718172169777,500,0,0.09095675033835715,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.01010609576083462,0.0009735499279150464,0.11110880416505825,500,0,0.09095675033835715,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.009701517676566582,0.000948847587155333,0.10666077713283671,500,0,0.09095675033835715,OLS fixed-effect R2
log_frequency:lex_emb_norm,0.009641821121931652,0.0007344505910638659,0.10600445910901923,500,0,0.09095675033835715,OLS fixed-effect R2
lex_emb_norm,0.008759208372628637,0.0009217161842091007,0.09630080604292228,500,0,0.09095675033835715,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.00820826522519076,0.000905068312366811,0.09024360693028488,500,0,0.09095675033835715,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.007387760858945178,0.0008631507579649555,0.08122278809943041,500,0,0.09095675033835715,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.003263811971420252,0.00013772779901496577,0.03588311982649932,500,0,0.09095675033835715,OLS fixed-effect R2
C(tense):C(syntactic_role),0.0031582510211996687,0.00021872638523925413,0.03472255780303323,500,0,0.09095675033835715,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0020133850041279874,0.00014364954992279963,0.02213563035880502,500,0,0.09095675033835715,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.001976028072132291,0.00015207644808602674,0.021724919423588784,500,0,0.09095675033835715,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0018579444252405462,0.0001457042709227869,0.020426679914674093,500,0,0.09095675033835715,OLS fixed-effect R2
C(tense):C(semantic_role),0.0018199045836140271,0.00013709522357344806,0.02000846090965235,500,0,0.09095675033835715,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0017516485900520861,0.00014480148546256559,0.019258038392268757,500,0,0.09095675033835715,OLS fixed-effect R2
C(tense),0.0016172433662290588,0.00014213523327097458,0.01778035561091341,500,0,0.09095675033835715,OLS fixed-effect R2
C(syntactic_role),0.0015348919342429474,0.0001374223993026328,0.01687496451371869,500,0,0.09095675033835715,OLS fixed-effect R2
C(tense):log_frequency,0.001353560375905013,0.00012151078029648382,0.014881362525263904,500,0,0.09095675033835715,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0012090578006845388,0.00011435765233207551,0.013292667077340272,500,0,0.09095675033835715,OLS fixed-effect R2
C(semantic_role):log_frequency,0.0011652867504542775,0.00011706156376809712,0.012811437811041356,500,0,0.09095675033835715,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.001111777422152723,0.0001157837375228884,0.012223143615146044,500,0,0.09095675033835715,OLS fixed-effect R2
log_frequency,0.001074789394940441,0.00011580653272870762,0.011816488506265314,500,0,0.09095675033835715,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.001018318131278974,0.00011299444615465728,0.011195630093322953,500,0,0.09095675033835715,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.000248535344068137,6.5840101935689605e-06,0.002732456284372418,500,0,0.09095675033835715,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00019709457217934823,1.4583522524075087e-05,0.002166904286335656,500,0,0.09095675033835715,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.00015733829896320305,1.1325965523433085e-05,0.0017298144269436624,500,0,0.09095675033835715,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",0.00012774935311031976,1.1092063192388462e-05,0.0014045065664185991,500,0,0.09095675033835715,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",7.0400655546633e-05,6.383023142801733e-06,0.0007740014378783771,500,0,0.09095675033835715,OLS fixed-effect R2
C(semantic_role),8.953547404519924e-06,7.966556222950637e-07,9.843741526838768e-05,500,0,0.09095675033835715,OLS fixed-effect R2
