predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc,0.18999318608521262,0.011797436452290757,0.32513633514576396,500,0,0.584349288430146
male_perc:C(tense),0.18407784096679838,0.011693809594450282,0.3150133740409326,500,0,0.584349288430146
male_perc:C(syntactic_role),0.18322801144775275,0.011675707465354204,0.31355905633083714,500,0,0.584349288430146
C(tense):C(syntactic_role),0.010576084279244082,0.00045651153268651886,0.018098908458769113,500,0,0.584349288430146
C(syntactic_role),0.009418744789043074,0.00040672549447445615,0.016118347323304742,500,0,0.584349288430146
"C(tense):C(valence, Treatment(reference='-val'))",0.002083613461311494,0.00012191749660560694,0.003565698637041418,500,0,0.584349288430146
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0017022699694171548,0.00011212170063401088,0.0029131035206533783,500,0,0.584349288430146
C(tense),0.0014589553561951036,0.00011076022507476966,0.0024967179477784363,500,0,0.584349288430146
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.001342978652594705,3.2419035185009815e-05,0.0022982464070464025,500,0,0.584349288430146
"C(valence, Treatment(reference='-val'))",0.0004676034225766763,3.037486242241769e-05,0.0008002121878729289,500,0,0.584349288430146
