predictor,unique_r2,relative_r2
profession_embedding_9,0.2243172703399482,0.425550142331591
profession_embedding_2,0.21408308107859275,0.40613496003101246
profession_embedding_8,0.029486806539627874,0.05593913790421184
profession_embedding_4,0.02058748029934554,0.039056311439409894
C(tense),0.018513788774741302,0.035122331135041006
profession_embedding_1,0.005732289740983942,0.010874671894254109
profession_embedding_6,0.005171389873826149,0.009810594135368054
lex_emb_norm,0.0029598902340779443,0.005615179377356391
profession_embedding_5,0.0020382027692988913,0.0038666549270206605
profession_embedding_3,0.0017858923947996486,0.0033879993352457973
C(syntactic_role),0.0008773891569089365,0.001664486555301575
profession_embedding_7,0.0008325203498569245,0.0015793663717406038
"C(dominance, Treatment(reference='-dom'))",0.000630985267268569,0.0011970360993085653
C(semantic_role),5.928419825329545e-05,0.00011246748396354421
"C(valence, Treatment(reference='-val'))",4.673524188036904e-05,8.866097917450688e-05
