predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
log_frequency:lex_emb_norm,0.04274812777121951,0.0006047283532450675,0.37460341967781563,500,0,0.11411569015570067,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.008025792413917477,0.0007495684889611928,0.07033031481443963,500,0,0.11411569015570067,OLS fixed-effect R2
C(tense):lex_emb_norm,0.008019337850854406,0.0007572814857706765,0.07027375324035402,500,0,0.11411569015570067,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.007784166725013219,0.0007303015138397357,0.06821293999442513,500,0,0.11411569015570067,OLS fixed-effect R2
lex_emb_norm,0.006414688991024525,0.0007092060110442268,0.05621215612219717,500,0,0.11411569015570067,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0061271572042499315,0.0006963541222107924,0.053692504474099685,500,0,0.11411569015570067,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.005497973156809625,0.0006636695960441197,0.0481789414699077,500,0,0.11411569015570067,OLS fixed-effect R2
C(tense):C(syntactic_role),0.004169894663481321,0.00027421092017756646,0.03654094066987521,500,0,0.11411569015570067,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.003517833193310599,0.00023083027092146661,0.030826901966862136,500,0,0.11411569015570067,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.0030315212781801206,0.00014820649772384763,0.02656533272544626,500,0,0.11411569015570067,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.002521224938749695,0.00020767382206993154,0.02209358708964305,500,0,0.11411569015570067,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.002497620328611056,0.00019033388307279704,0.02188673902075408,500,0,0.11411569015570067,OLS fixed-effect R2
C(tense),0.002286410883720063,0.00020094659288577644,0.020035902868400124,500,0,0.11411569015570067,OLS fixed-effect R2
C(tense):C(semantic_role),0.002116735768821331,0.00019385823887298025,0.018549033581037228,500,0,0.11411569015570067,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0018496241498034238,0.00015238921430524183,0.01620832461583308,500,0,0.11411569015570067,OLS fixed-effect R2
C(syntactic_role),0.0016501420560943963,0.0001477410073501505,0.014460255674245363,500,0,0.11411569015570067,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0008032687374168397,6.0300332942559985e-05,0.007039073560531872,500,0,0.11411569015570067,OLS fixed-effect R2
C(tense):log_frequency,0.0007901022737347543,0.00010104208538056288,0.006923695353870535,500,0,0.11411569015570067,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.000688813130840679,5.72166715869185e-05,0.006036094860407496,500,0,0.11411569015570067,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0006741957560188853,0.00010088300897284905,0.005908002265937361,500,0,0.11411569015570067,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",0.0006455237808849248,5.852776796785312e-05,0.005656748690773068,500,0,0.11411569015570067,OLS fixed-effect R2
C(semantic_role):log_frequency,0.000597923559729056,9.17522120097318e-05,0.005239626197880788,500,0,0.11411569015570067,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.0005444426276652246,9.562991961470187e-05,0.004770970818494646,500,0,0.11411569015570067,OLS fixed-effect R2
log_frequency,0.0005202081867631954,9.953629302575678e-05,0.00455860351940577,500,0,0.11411569015570067,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.0004937588152109158,8.285359969763697e-05,0.004326826701369689,500,0,0.11411569015570067,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",7.296186234513181e-05,2.0366999822905053e-06,0.0006393674896552951,500,0,0.11411569015570067,OLS fixed-effect R2
C(semantic_role),1.3613652632739726e-05,1.2112956373486285e-06,0.00011929693992267946,500,0,0.11411569015570067,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",1.2626398597505474e-05,1.0963093567656969e-06,0.00011064559641428694,500,0,0.11411569015570067,OLS fixed-effect R2
