profession,Group,C(syntactic_role)[T.subject]
accountant,0.5948855606384912,-0.10197774446306086
carpenter,2.7970521053795157,-0.16013372187781397
cashier,-1.0692824466224822,-0.010617452391039206
ceo,0.7306199111180887,-0.08687053076481092
cleaner,-0.9603759455934151,0.339304616353408
cook,-0.2655561450531112,0.3534400539909031
designer,0.14394924551744726,-0.003766432896206887
driver,1.118407163021041,-0.24218195631096234
lawyer,1.0560544847241091,0.03955875175594155
manager,0.39995401185736323,-0.20106176164872916
receptionist,-1.843868158538141,0.09399499172523103
salesperson,0.3281972455408309,-0.09392786204379269
secretary,-2.0073085333307317,0.027925519875483685
teacher,-1.022728498575597,0.04631352868971204
