,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
CEO,-0.20136017799544575,-0.02908306470449478,0.03459383736262916,-0.02026731070068135,-0.05370288435295023,-0.027970840341703544,-0.010960750440296351,0.09021079169774571,0.048476374407771014,-0.03955693157164372
accountant,0.424258651352736,0.041684974423466144,-0.09847391097693842,-0.034237855996471014,0.004535256524839885,0.0214850260854837,-0.05429076320801263,0.09947167248928536,-0.09776419104361256,0.0007867069854745525
administrator,-0.4662742048140047,0.021233889845787335,0.3043194356682451,0.26267308718912663,0.6159794899128497,0.04336948442252699,-0.003126379638984933,0.14960368516923278,-0.05869810652418639,0.024620502297192336
agronomist,-0.7183471772348913,-0.061555108530662005,0.04028074667545395,-0.03745668805770388,-0.04656661305202668,-0.028040316305585657,0.02002992186801663,0.3668332940144739,0.13328165993209756,-0.031103679579482405
bodyguard,0.8828203558002645,0.06847542527801312,-0.13690077527243852,-0.0479254243284609,-0.08850706036077416,0.03130344510895503,-0.037393801129934616,0.13513755071293063,-0.14454633014061183,0.043749201791915805
bookbinder,0.5623086827748032,0.028591113530245113,-0.2726802582909501,-0.23286533800378298,-0.4076166722566542,-0.013022628793942087,0.017486116586388448,0.0011063782427089275,-0.06363970866838733,0.016003259751767862
builder,1.5897289297189874,0.000140191546778589,-0.39789088006922335,-0.2703232918409352,-0.4142578431867442,-0.034672261884598383,0.038701168225366116,-0.28511971737660735,-0.11954662380958031,-0.01767545154497708
cashier,-0.9640760681593893,0.030321389894407424,0.12445582164812977,0.09810165253988894,0.061034157678309386,0.026504759006551123,-0.029503015876351686,-0.31265142168628124,0.05270615487344636,0.04075756676415075
chauffeur,1.9376581362260368,0.012933944526598441,-0.2621421489222563,-0.1417278527472586,-0.35108610302451543,-0.011555723132040847,0.014229391772639651,-0.21382095063010848,-0.09990556489048205,-0.030920696745675068
colonel,2.0135714449721958,0.02332743861676237,-0.13482984242447038,-0.013857025189311367,-0.23744796120561382,0.012821299544783171,0.08626028704936568,-0.1549221943181454,-0.07049612365934027,0.019927616328900957
doctor,-0.04698326012446419,-0.018316676637805354,-0.06558764579962112,-0.07130849780986723,-0.20734123395214318,-0.01972835117683757,0.010210111072991503,0.3050880598209404,0.07002868412133542,-0.016497884628562637
electrician,1.1763532414119755,-0.04102477685930221,-0.18212161966338425,-0.1582805955436614,-0.2571865367109095,-0.04348674056855303,0.023614222735066335,-0.10876548145454368,-0.030369731164746838,-0.06965491399449356
