,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,2.1221442289290153,0.00038482669918209493,-0.143770271497077,-0.03311596965838989,-0.07031251964587193,0.0037257829353620742,0.06338788831141376,-0.15717981017072324,-0.11814118096494834,-0.030296864951497752
C(tense)[T.past perfect],0.00038482669918209493,0.003442052045963389,-0.0009653665019993507,0.0013179569000687573,-7.019732309000083e-05,0.002201566905816,-0.001706877753436077,-0.0019117957784502767,-0.002880281267662429,0.001501873215474235
C(tense)[T.present continuous],-0.143770271497077,-0.0009653665019993507,0.02559604479483563,0.014665261189704907,0.02133234226804896,0.000591825367912466,-0.003717488380920874,0.016859890762389588,0.01082855498920711,0.0006939123129077333
C(tense)[T.present perfect],-0.03311596965838989,0.0013179569000687573,0.014665261189704907,0.012747041448888784,0.017641873447196834,0.002126319719050385,-0.0016230080981782561,0.006549802450005512,0.002042118843489609,0.0007655515899957662
C(tense)[T.simple future],-0.07031251964587193,-7.019732309000083e-05,0.02133234226804896,0.017641873447196834,0.04518801126063873,0.003502509466316182,-0.0011320492832592182,0.015392876533606235,0.000441828609285192,0.0009619576545057991
C(tense)[T.simple past],0.0037257829353620742,0.002201566905816,0.000591825367912466,0.002126319719050385,0.003502509466316182,0.0027983193591448125,-0.0005803121689795787,0.00019574748264636585,-0.0011341129817993444,0.0003531399923630562
C(semantic_role)[T.patient],0.06338788831141376,-0.001706877753436077,-0.003717488380920874,-0.0016230080981782561,-0.0011320492832592182,-0.0005803121689795787,0.005141981258151141,-0.002889603276680247,-0.0016217870619813688,-0.0009493128498852141
C(syntactic_role)[T.subject],-0.15717981017072324,-0.0019117957784502767,0.016859890762389588,0.006549802450005512,0.015392876533606235,0.00019574748264636585,-0.002889603276680247,0.06157123261861987,0.012157665199495194,0.0009057838798571847
"C(valence, Treatment(reference='-val'))[T.+val]",-0.11814118096494834,-0.002880281267662429,0.01082855498920711,0.002042118843489609,0.000441828609285192,-0.0011341129817993444,-0.0016217870619813688,0.012157665199495194,0.012469508233048536,-0.0009353480822640197
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.030296864951497752,0.001501873215474235,0.0006939123129077333,0.0007655515899957662,0.0009619576545057991,0.0003531399923630562,-0.0009493128498852141,0.0009057838798571847,-0.0009353480822640197,0.0035697138127699
