,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,2.013129327883359,-0.022460386326752776,-0.18734915388452822,-0.27022501893656814,-0.39505025468762833,-0.07296490830152953,0.043359390777606525,-0.07513535356591357,-0.10979590665510468,-0.06204278879258699
C(tense)[T.past perfect],-0.022460386326752776,0.006060408578803953,-0.0007561706979912856,0.002583312836385457,0.006938716546979036,0.0045617422193830175,-0.001089694873893869,-0.001024439055893793,-0.0016774295555405051,0.0028597472642245825
C(tense)[T.present continuous],-0.18734915388452822,-0.0007561706979912856,0.03688270835487009,0.04331085032168455,0.05778567801905905,0.01006903400614449,-0.00405003900828553,0.0071788454911388905,0.010834045600030618,0.009981922175114424
C(tense)[T.present perfect],-0.27022501893656814,0.002583312836385457,0.04331085032168455,0.054272336123341154,0.07548348129053109,0.014816233499593701,-0.005823308972703249,0.009508951873874837,0.013845360607427602,0.01347908767905574
C(tense)[T.simple future],-0.39505025468762833,0.006938716546979036,0.05778567801905905,0.07548348129053109,0.11604550337310297,0.022560171469749445,-0.008047628602216216,0.0033768093862262655,0.01799804518469298,0.02008991801446898
C(tense)[T.simple past],-0.07296490830152953,0.0045617422193830175,0.01006903400614449,0.014816233499593701,0.022560171469749445,0.007069414857706669,-0.0014809220305545482,0.0021343018023146517,0.0012160358574701369,0.0056800232032721484
C(semantic_role)[T.patient],0.043359390777606525,-0.001089694873893869,-0.00405003900828553,-0.005823308972703249,-0.008047628602216216,-0.0014809220305545482,0.0027972475384906927,-0.0014613682053688404,-0.0028939305646948172,-0.0008594123326231327
C(syntactic_role)[T.subject],-0.07513535356591357,-0.001024439055893793,0.0071788454911388905,0.009508951873874837,0.0033768093862262655,0.0021343018023146517,-0.0014613682053688404,0.0359914039181982,0.005789946401263428,0.0017881999672102581
"C(valence, Treatment(reference='-val'))[T.+val]",-0.10979590665510468,-0.0016774295555405051,0.010834045600030618,0.013845360607427602,0.01799804518469298,0.0012160358574701369,-0.0028939305646948172,0.005789946401263428,0.008918020747265065,0.0016693163572484347
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.06204278879258699,0.0028597472642245825,0.009981922175114424,0.01347908767905574,0.02008991801446898,0.0056800232032721484,-0.0008594123326231327,0.0017881999672102581,0.0016693163572484347,0.009617289138886652
