,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.010027897138552212,0.0011942469919143167,-0.00015073038576454554,0.0008567235585183348,-0.0005281145786696033,0.00018013844095850397,0.0003368616732417398,0.00017400773129599466,-4.741120796254486e-05,7.790049739202282e-05,3.105839592658071e-06,-3.581859333916997e-05,-0.00021792296360058906,-0.00034945455256588066,-0.00013149998750879436
C(profession)[T.carpenter],0.0011942469919143167,0.004609958633841781,0.0005959645562004606,-0.0015638202622946424,0.0014050026816338683,-0.00011335369395617471,-0.000449337745338686,-0.00010021064785035275,0.00037446838462986326,0.00010582452220822845,0.0002661696847099965,0.0003496160792647902,0.0007400123415284291,0.0010219904216369868,0.000340320955378442
C(profession)[T.cashier],-0.00015073038576454554,0.0005959645562004606,0.009705124439301618,0.0003070186777038338,-0.0006856972499928848,-0.00017798877884585922,-6.56423285656636e-05,-0.00018238355463885158,-0.0003411068752903089,-0.00025127765807530454,-0.0003048939227534392,-0.00033279675379035663,-0.0004633375758545882,-0.0005576254928746339,-0.0001130260759178471
C(profession)[T.ceo],0.0008567235585183348,-0.0015638202622946424,0.0003070186777038338,0.008109006362948494,0.0005730944776484512,-0.00010756494036427614,-0.0002581822213613401,-0.00010167308371135076,0.00011111935368026978,-9.310196317596411e-06,6.25704548548731e-05,9.997838837210101e-05,0.000274987955913868,0.00040139506229875234,0.0001534248269000695
C(profession)[T.cleaner],-0.0005281145786696033,0.0014050026816338683,-0.0006856972499928848,0.0005730944776484512,0.008076433091370011,-0.00019263563046007477,-7.381546390527228e-05,-0.00019728364550982322,-0.0003651530472484809,-0.0002701476196235421,-0.00032685340323498495,-0.00035636407333557467,-0.0004944270221976402,-0.0005941480723645981,-0.00012048802841619904
C(profession)[T.cook],0.00018013844095850397,-0.00011335369395617471,-0.00017798877884585922,-0.00010756494036427614,-0.00019263563046007477,0.010315753801379187,-0.00014961968048113656,-0.00015724417015757476,-0.00016761055365716601,-0.0001617437149891881,-0.00016524544844076668,-0.00016706781106545172,-0.0001755935665648127,-0.00018175160750756513,-6.804721960930172e-06
C(profession)[T.designer],0.0003368616732417398,-0.000449337745338686,-6.56423285656636e-05,-0.0002581822213613401,-7.381546390527228e-05,-0.00014961968048113656,0.010218662341574163,-0.00014445915936437241,-0.00012312764715016804,-0.00013520018341241333,-0.00012799446216007237,-0.0001242444802503353,-0.00010670053567550782,-9.402877549968239e-05,1.6108136438673265e-05
C(profession)[T.driver],0.00017400773129599466,-0.00010021064785035275,-0.00018238355463885158,-0.00010167308371135076,-0.00019728364550982322,-0.00015724417015757476,-0.00014445915936437241,0.01032123897498857,-0.00016559706717813498,-0.00015775317990470204,-0.0001624349521521814,-0.00016487142736628646,-0.0001762702519877756,-0.00018450347292955989,-9.305253644072784e-06
C(profession)[T.lawyer],-4.741120796254486e-05,0.00037446838462986326,-0.0003411068752903089,0.00011111935368026978,-0.0003651530472484809,-0.00016761055365716601,-0.00012312764715016804,-0.00016559706717813498,0.010094050058545717,-0.00018460677799163637,-0.00020366601306292525,-0.00021358476848313542,-0.00025998875110077604,-0.00029350573677036537,-4.010513681058871e-05
C(profession)[T.manager],7.790049739202282e-05,0.00010582452220822845,-0.00025127765807530454,-9.310196317596411e-06,-0.0002701476196235421,-0.0001617437149891881,-0.00013520018341241333,-0.00015775317990470204,-0.00018460677799163637,0.010280368223721156,-0.00017318572428343045,-0.000178366629020653,-0.0002026050140996337,-0.0002201120805084797,-2.0643410546177876e-05
C(profession)[T.receptionist],3.105839592658071e-06,0.0002661696847099965,-0.0003048939227534392,6.25704548548731e-05,-0.00032685340323498495,-0.00016524544844076668,-0.00012799446216007237,-0.0001624349521521814,-0.00020366601306292525,-0.00017318572428343045,0.01019576090354584,-0.00018861765286998456,-0.00022264233766979967,-0.0002472179195168308,-2.9289342712257953e-05
C(profession)[T.salesperson],-3.581859333916997e-05,0.0003496160792647902,-0.00033279675379035663,9.997838837210101e-05,-0.00035636407333557467,-0.00016706781106545172,-0.0001242444802503353,-0.00016487142736628646,-0.00021358476848313542,-0.000178366629020653,-0.00018861765286998456,0.010139835066622081,-0.0002239700245048042,-0.00025026977426090036,-3.145378290812867e-05
C(profession)[T.secretary],-0.00021792296360058906,0.0007400123415284291,-0.0004633375758545882,0.000274987955913868,-0.0004944270221976402,-0.0001755935665648127,-0.00010670053567550782,-0.0001762702519877756,-0.00025998875110077604,-0.0002026050140996337,-0.00022264233766979967,-0.0002239700245048042,0.009714152342681092,-0.0002782824542460961,-4.233231706337772e-05
C(profession)[T.teacher],-0.00034945455256588066,0.0010219904216369868,-0.0005576254928746339,0.00040139506229875234,-0.0005941480723645981,-0.00018175160750756513,-9.402877549968239e-05,-0.00018450347292955989,-0.00029350573677036537,-0.0002201120805084797,-0.0002472179195168308,-0.00025026977426090036,-0.0002782824542460961,0.009337922932378298,-2.7737315050736898e-05
C(syntactic_role)[T.subject],-0.00013149998750879436,0.000340320955378442,-0.0001130260759178471,0.0001534248269000695,-0.00012048802841619904,-6.804721960930172e-06,1.6108136438673265e-05,-9.305253644072784e-06,-4.010513681058871e-05,-2.0643410546177876e-05,-2.9289342712257953e-05,-3.145378290812867e-05,-4.233231706337772e-05,-2.7737315050736898e-05,0.010819770527341009
