target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_10,0.0964748797031243,0.1492311756602184
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_2,0.0809747273117275,0.1252549243148044
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_3,0.079560404514385,0.1230671936385916
EleutherAI_pythia-12b-deduped — log(1 + x) counts,log_frequency,0.0791125675952303,0.1223744617051063
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_1,0.0777559875170124,0.1202760497602284
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_7,0.0728724366027253,0.1127219792438597
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_9,0.0575861509894334,0.0890765455250596
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_5,0.0353429917849679,0.0546699434262098
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_4,0.0322085395757862,0.0498214482566243
EleutherAI_pythia-12b-deduped — log(1 + x) counts,lex_emb_norm,0.020532314367419,0.031760199354526
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense),0.00640970742466,0.0099147900216461
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_8,0.0046508549999189,0.0071941272339376
EleutherAI_pythia-12b-deduped — log(1 + x) counts,profession_embedding_6,0.0024064768073521,0.003722433904715
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(syntactic_role),0.0004978584682765,0.0007701072523949
EleutherAI_pythia-12b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",4.6426537297139525e-05,7.18144118345114e-05
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(semantic_role),3.358157852473287e-05,5.194531943644951e-05
EleutherAI_pythia-12b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",1.3486187722677734e-05,2.0860970806314746e-05
