Model,Intercept,Tense,Semantic role,Syntactic role,Valence,Dominance,Log frequency,Lex emb norm,Profession embedding,Tense:semantic role,Tense:syntactic role,Tense:valence,Tense:dominance,Semantic role:syntactic role,Semantic role:valence,Semantic role:dominance,Syntactic role:valence,Syntactic role:dominance,Valence:dominance,Tense:log frequency,Semantic role:log frequency,Syntactic role:log frequency,Valence:log frequency,Dominance:log frequency,Tense:lex emb norm,Semantic role:lex emb norm,Syntactic role:lex emb norm,Valence:lex emb norm,Log frequency:lex emb norm,Dominance:lex emb norm
GPT2,5.049019169589082e-29,0.012188886452562171,0.002666182042453171,,0.0023975786566794374,0.0007556681178631907,0.037607068237920586,0.25061705819245916,0.39846261093756424,,,,,,,,,,,,,,,,,,,,,
Qwen3 4B,1.2622547923972706e-29,0.00853080298689764,0.004985127611973126,0.03218248493218108,0.003922792933673997,0.00019393314457924566,0.1367671187778238,0.00019921255783691356,0.444370881292061,,,,,,,,,,,,,,,,,,,,,
Qwen3 8B,0.0,0.019667879624567373,0.0016763463453021584,0.028358968467909088,0.00858756866580694,0.0012466928693619544,0.5010064654183898,0.07560161523034117,0.5239549956008075,,,,,,,,,,,,,,,,,,,,,
Gemma3 4B,5.049019169589082e-29,0.012014540384282058,0.0002995851343359241,0.038632083793976355,0.0030853658930128517,0.0003237895611340508,0.15180540202434056,0.02573723575820681,0.727255422007408,,,,,,,,,,,,,,,,,,,,,
Gemma3 12b,1.2622547923972706e-29,0.00998604202902179,,0.005603916434424703,0.0008810346607790741,,0.2509953517109752,,0.6540991837695476,,,,,,,,,,,,,,,,,,,,,
Mistral 7B,1.2622547923972706e-29,0.023983579181938917,,0.0014165507615684254,0.00022969615424303918,0.0018440699023183774,0.49111887699435336,0.03963894049825181,0.852231079717639,,,,,,,,,,,,,,,,,,,,,
OLMo3 7B,1.2622547923972706e-29,0.010535637473029531,0.0006836333236005542,0.012097876504671963,0.006326639203889225,0.0004696403869948537,0.26147739215800675,0.003566403282015237,0.48171495917282336,,,,,,,,,,,,,,,,,,,,,
OLMo3 32B,1.2622547923972706e-29,0.04141920171297007,,0.07908299493508415,0.0032561476212045635,0.00326086757404744,0.26541125617906325,,0.7471882684829761,,,,,,,,,,,,,,,,,,,,,
Falcon3 3B,0.0,0.01458608393021183,,0.014258648349098587,0.0006673461848771305,0.0011302381572017427,0.5090704893968946,0.2703032356831623,0.37591842577835516,,,,,,,,,,,,,,,,,,,,,
Falcon3 7B,1.2622547923972706e-29,0.03486241362937434,0.0006125131744765534,0.047826028733179954,0.007061838148214839,,0.21348416844456997,0.015313171857542843,0.4617604863567944,,,,,,,,,,,,,,,,,,,,,
Falcon3 10B,5.049019169589082e-29,0.027344994670860334,,0.02032741351648281,0.008114223381192312,,0.5034120526269023,0.17399462319583453,0.4987117948032703,,,,,,,,,,,,,,,,,,,,,
Pythia 2.8b,5.049019169589082e-29,0.010464512336858267,0.0013960742889090718,6.94136211351609e-05,0.0032172239081623435,0.0034907551267406092,0.09074900448461201,0.04652541357390303,0.599756423793361,,,,,,,,,,,,,,,,,,,,,
Pythia 6.9b,5.049019169589082e-29,0.007817684753545818,0.0002463911431823777,0.0034131689377811993,0.002608848872424632,0.00016954050614414882,0.048727604009872354,0.09976802016438792,0.7800284849295709,,,,,,,,,,,,,,,,,,,,,
Pythia 12b,2.019607667835633e-28,0.021062749395727633,,0.0016359979414196954,,,0.08848487914081503,0.0645491155201778,0.8090062032542218,,,,,,,,,,,,,,,,,,,,,
Llama3.1 8B,1.1360293131575435e-28,0.02305378318192527,,0.023157221715391016,,,0.24776772994926557,,0.7341449689269287,,,,,,,,,,,,,,,,,,,,,
Llama3.1 70B,5.049019169589082e-29,0.04022005985540406,,0.0019060736209491607,,0.0013707764264893636,0.2911158709154973,,0.5617636811237566,,,,,,,,,,,,,,,,,,,,,
