,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.591404562588388,0.0070237298454649206,-0.10205906974172269
carpenter,2.755574986768475,0.08262365641898528,-0.15950056606107718
cashier,-1.089492979710974,0.03956302477777742,-0.009105104494071673
ceo,0.7342241219943569,-0.006913575557844018,-0.08736633627465515
cleaner,-0.9362538361723712,-0.047814795211480965,0.3384590668099106
cook,-0.28110035803754013,0.03065392131529558,0.35411743453629024
designer,0.14135337085340252,0.005163088145484439,-0.0037144167318980724
driver,1.1255742172548595,-0.01385738613486741,-0.24295846614230168
lawyer,1.037678534377322,0.0365713751629811,0.039871144122744506
manager,0.40284316090185046,-0.00561902190013177,-0.20129115057395
receptionist,-1.8217635962405885,-0.044134363540657764,0.09383302480050268
salesperson,0.33232169725825655,-0.008058535919667511,-0.09423906344636522
secretary,-1.997964360528052,-0.019016598279374606,0.028490339535169718
teacher,-0.9943995214881146,-0.05618451912551152,0.04546316367331554
