predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(semantic_role),0.12266137047295321,0.009302745117342527,0.2560494302855661,500,0,0.4790534793854131
male_perc,0.12253757887457101,0.009302745117342527,0.2557910215614691,500,0,0.4790534793854131
"male_perc:C(valence, Treatment(reference='-val'))",0.1170785214120586,0.00915698584614434,0.24439551417570515,500,0,0.4790534793854131
"male_perc:C(dominance, Treatment(reference='-dom'))",0.11311964258598067,0.00905451683637909,0.2361315541035294,500,0,0.4790534793854131
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0012223637094409428,6.99370217073973e-05,0.002551622651836569,500,0,0.4790534793854131
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0011579888641541746,6.937455822703325e-05,0.002417243405975844,500,0,0.4790534793854131
"C(valence, Treatment(reference='-val'))",0.0011461340599385219,7.02294588245587e-05,0.0023924970995073853,500,0,0.4790534793854131
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",8.843208236057643e-05,2.207907560405262e-06,0.00018459751607279346,500,0,0.4790534793854131
C(semantic_role),2.3048857427734326e-05,1.4311956991965812e-06,4.811332851042883e-05,500,0,0.4790534793854131
"C(dominance, Treatment(reference='-dom'))",1.839846652777344e-05,1.2403674937811214e-06,3.8405871827456896e-05,500,0,0.4790534793854131
