predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
profession_embedding,0.6724674341287388,0.0008445098007215366,0.9328153174840199,500,0,0.0,0.7209009345413744
lex_emb_norm,0.0206923396969254,0.0007289629456048038,0.02870344412868536,500,0,0.0,0.7209009345413744
C(syntactic_role),0.010764887537994728,5.967433396504335e-18,0.014932547625067481,500,0,0.0,0.7209009345413744
C(tense),0.007465804424758124,5.664811031912806e-18,0.010356214102438012,500,0,0.0,0.7209009345413744
log_frequency,0.005141113800310561,0.0002264050463800352,0.007131512187012568,500,0,0.0,0.7209009345413744
"C(valence, Treatment(reference='-val'))",0.003259787499563843,5.4786824441625285e-18,0.004521824488461328,500,0,0.0,0.7209009345413744
C(semantic_role),0.0006363306162676788,6.622392623595034e-18,0.0008826880168667032,500,0,0.0,0.7209009345413744
"C(dominance, Treatment(reference='-dom'))",0.00047323683681541626,4.825794633643791e-18,0.0006564519674488728,500,0,0.0,0.7209009345413744
