predictor,unique_r2,relative_r2
male_perc:C(tense),0.0028055716623516247,0.5432114495976273
C(syntactic_role):C(tense),0.0007069541050234163,0.13687961328596887
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.000517650740884612,0.10022692099246532
male_perc:C(syntactic_role),0.00039606254708202115,0.07668515946993082
C(semantic_role):C(syntactic_role),0.0002532601328555373,0.049035925811436946
male_perc:C(semantic_role),0.00020076502520827155,0.03887188548250352
"C(tense):C(dominance, Treatment(reference='-dom'))",0.00014733120452059545,0.028526092650762835
C(semantic_role):C(tense),0.0001371920040431629,0.026562952709261387
C(syntactic_role),1.1102230246251565e-16,2.1496006203519613e-14
C(tense),1.1102230246251565e-16,2.1496006203519613e-14
male_perc,0.0,0.0
