predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc,0.14150005453021408,0.010631238707892511,0.25072114416800906,500,0,0.5643722431140248
male_perc:C(syntactic_role),0.1375755047252288,0.01052425385511769,0.24376731209552646,500,0,0.5643722431140248
male_perc:C(tense),0.13458424840041253,0.010383908533910084,0.2384671642563778,500,0,0.5643722431140248
male_perc:C(semantic_role),0.12981913558723487,0.010325651427721001,0.2300239552372997,500,0,0.5643722431140248
C(syntactic_role):C(tense),0.00639430295715376,0.0003209223818615156,0.011329938768554686,500,0,0.5643722431140248
C(syntactic_role),0.00339221552249056,0.00020424484262469107,0.006010599500381883,500,0,0.5643722431140248
C(semantic_role):C(syntactic_role),0.0031131546760663244,0.00019550059182265128,0.005516137113492571,500,0,0.5643722431140248
C(semantic_role):C(tense),0.002680813978011661,0.00018811044032971278,0.004750081193256051,500,0,0.5643722431140248
"C(dominance, Treatment(reference='-dom')):C(tense)",0.0026164885339833546,0.00018557314614715164,0.004636104212968397,500,0,0.5643722431140248
C(tense),0.00212489369595738,0.00017704912580110565,0.0037650570556640047,500,0,0.5643722431140248
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0005714305072696186,2.5361348376423748e-06,0.0010125063984661056,500,0,0.5643722431140248
