profession,Group,C(semantic_role)[T.patient]
accountant,0.5411699845231253,0.005313852618435491
carpenter,2.6621362700253752,0.1097355065829369
cashier,-1.1237960723701403,0.09830260936060335
ceo,0.6995856276712492,-0.024906511375109804
cleaner,-0.7477752843118276,-0.08534081881082033
cook,-0.11456526342139847,0.05217869931335515
designer,0.1384454657224594,0.007252946020757024
driver,1.0174301085484603,-0.04061459667485096
lawyer,1.0517895789985843,0.04831221283484901
manager,0.3051232029166958,-0.011773936901379196
receptionist,-1.7709253133212775,-0.05193127094135184
salesperson,0.29057153025634014,-0.018839920190930275
secretary,-1.9945732328794208,0.002280299976783386
teacher,-0.9546166022785667,-0.08996907180654468
