,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,1.8252811499913033,-0.03194325981730753,0.22297732768577133,-0.038018440322857616,-0.09548966426088311
C(semantic_role)[T.patient],-0.03194325981730753,0.0370679217298005,-0.006153042044682365,0.001750464188000656,0.002764981204886041
C(syntactic_role)[T.subject],0.22297732768577133,-0.006153042044682365,0.04789424237200616,-0.003899805305651574,-0.013947175474195873
"C(valence, Treatment(reference='-val'))[T.+val]",-0.038018440322857616,0.001750464188000656,-0.003899805305651574,0.040762468972073654,0.0008392749845439103
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.09548966426088311,0.002764981204886041,-0.013947175474195873,0.0008392749845439103,0.045595293724721014
