profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.3500557666603707,-0.005721974224226596,-0.12350263955785909
carpenter,1.8956201261481305,0.18510314494116448,-0.11478497812172876
cashier,-0.5778617642196351,-0.06647179921824944,-0.005040814892586521
ceo,0.8418347126981498,0.17216844993747593,-0.22233541527779074
cleaner,-0.6621169534536954,-0.03547200115303438,0.09129282255277706
cook,-0.20262798478982585,-0.0019043034961051459,0.5658581486365258
designer,-0.10994537079012133,-0.01998486064279309,0.24819525365390727
driver,1.0844787003725496,0.09007959697360482,-0.28722974216648717
lawyer,0.44479312734030635,0.04856012121433436,-0.0861837484141431
manager,0.453125502153688,0.09456794230188052,-0.10429309381031446
receptionist,-1.6144292712495572,-0.20202703049604023,-0.11362837511908068
salesperson,0.7346127324414528,0.051222263190184934,-0.44671385455549695
secretary,-1.8693123249366248,-0.2516918966268275,0.466974189525996
teacher,-0.7682269985385748,-0.05842765272014079,0.13139224756744644
