profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5913983449021275,0.007022908281352356,-0.1020462717048212
carpenter,2.755617559442252,0.08253582712067564,-0.15950184985145008
cashier,-1.0894175897675786,0.03938674100196247,-0.009075248012375003
ceo,0.7341969502821717,-0.006864920837637246,-0.08736206309293763
cleaner,-0.9362878420042043,-0.04768262308324389,0.3383927803052437
cook,-0.2810467303006909,0.030612332401964176,0.3540498133791885
designer,0.14135685082957464,0.005156791461759266,-0.0037153032001842868
driver,1.1255259974998164,-0.013792232201467629,-0.2429283245620069
lawyer,1.0377037909055642,0.03654014862681579,0.03984949287178246
manager,0.40282259847396634,-0.0056131893520576515,-0.20125511367923288
receptionist,-1.8217783731419481,-0.04410713351166723,0.09383838765097567
salesperson,0.3323018284813281,-0.008032178457774555,-0.09422590253063796
secretary,-1.9979440116607532,-0.019080188303738546,0.028518159538177254
teacher,-0.9944493741725351,-0.05608228315147895,0.045461442903483675
