predictor,unique_r2,relative_r2
lex_emb_norm,0.08182402613268991,0.3404719211680129
profession_embedding_1,0.06317585402270298,0.2628763873786726
log_frequency,0.039194151613112904,0.16308789397171441
profession_embedding_5,0.02755952974813869,0.11467592690464098
profession_embedding_4,0.011359214736816226,0.04726599077552239
profession_embedding_2,0.007054308894842265,0.02935316453439579
C(tense),0.006875583136898733,0.028609481962842
C(semantic_role),0.0015039566052520437,0.006258002923409223
"C(valence, Treatment(reference='-val'))",0.001352441131140969,0.005627543057334872
"C(dominance, Treatment(reference='-dom'))",0.0004262619877953844,0.0017736873234548514
