profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5773344384016343,0.01679091876943058,0.12375190188277144
carpenter,2.44565774562476,0.18635597394946138,0.04500581041807496
cashier,-0.8553412694254391,0.015973782455083494,-0.010131205545931844
ceo,0.4254237605770964,0.0008767379790830824,-0.021964322449305844
cleaner,-0.7489756994702433,-0.0397988176033517,-0.04014274907582536
cook,-0.102394436368386,0.034813237587563585,-0.0049707389447022285
designer,0.25869719550589787,-0.03550203787658502,-0.0036338973835950738
driver,1.0230331425272907,-0.006918302548158859,-0.09450177095032576
lawyer,1.003152115903967,-0.07442554116204314,0.08139247123447067
manager,0.5135925575543135,0.043627283374316185,-0.015431878284150522
receptionist,-2.1656224462370997,-0.03232820633380817,0.06619355413196042
salesperson,0.21138154438571477,-0.02550832596842056,-0.055178310106798446
secretary,-1.8915435550574846,-0.06930226948582649,0.009276698662506513
teacher,-0.6943950939291057,-0.014654433136995213,-0.07966556358917702
