predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(tense),0.28741812748300544,0.01203043772724241,0.5250425745548413,500,0,0.5474187073813845
male_perc,0.2520570288308911,0.012030437727242408,0.4604465017949851,500,0,0.5474187073813845
C(syntactic_role):C(tense),0.002209738090795139,0.00011122525206654618,0.004036650667942231,500,0,0.5474187073813845
"C(dominance, Treatment(reference='-dom')):C(tense)",0.0014564875864037465,8.761247826210894e-05,0.002660646351256347,500,0,0.5474187073813845
C(tense),0.0014020631178185319,8.863008655423989e-05,0.00256122616730692,500,0,0.5474187073813845
C(semantic_role):C(syntactic_role),0.0009255039460647223,4.186249863452357e-05,0.001690669196330419,500,0,0.5474187073813845
"C(dominance, Treatment(reference='-dom')):C(syntactic_role)",0.000696122363285091,4.335757674225045e-05,0.001271645184752711,500,0,0.5474187073813845
"C(valence, Treatment(reference='-val')):C(syntactic_role)",0.0006613831561675955,4.6372413705810667e-05,0.001208185155621312,500,0,0.5474187073813845
C(syntactic_role),0.0003863342459795813,3.9047582312304123e-05,0.0007057381137514245,500,0,0.5474187073813845
"C(valence, Treatment(reference='-val'))",0.0002059185609757006,8.23757365956866e-06,0.0003761628132160962,500,0,0.5474187073813845
