predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
C(tense):C(syntactic_role),0.007249085122448495,0.0005714088496185358,0.1316732912870322,500,0,0.055053572760221714,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.00613004756858239,0.00048792787154794626,0.11134695281777572,500,0,0.055053572760221714,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.006124788431390132,0.0004671559624740597,0.11125142519025619,500,0,0.055053572760221714,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.005977505146172181,0.0004867434462959184,0.10857615312645348,500,0,0.055053572760221714,OLS fixed-effect R2
log_frequency:lex_emb_norm,0.005262796141492419,3.1003887756412105e-05,0.09559408913230401,500,0,0.055053572760221714,OLS fixed-effect R2
C(syntactic_role),0.005217470634439801,0.0004671321262948695,0.09477079093783393,500,0,0.055053572760221714,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.004259473641289976,0.0002648316698815161,0.07736961340986041,500,0,0.055053572760221714,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0034763494879121444,0.0002555955976463783,0.06314484807467279,500,0,0.055053572760221714,OLS fixed-effect R2
C(tense),0.002814594627849506,0.0002473672623097115,0.051124649804438434,500,0,0.055053572760221714,OLS fixed-effect R2
C(tense):C(semantic_role),0.002603531319757865,0.00023802155298270714,0.04729086940637238,500,0,0.055053572760221714,OLS fixed-effect R2
C(tense):log_frequency,0.0005866184038158963,4.65655530557038e-05,0.010655410255948915,500,0,0.055053572760221714,OLS fixed-effect R2
C(semantic_role):log_frequency,0.0004394499033848842,4.552192044711711e-05,0.007982223157411563,500,0,0.055053572760221714,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0004376496658908331,4.51481697848741e-05,0.007949523417798083,500,0,0.055053572760221714,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00043293468840576143,3.227470845366452e-05,0.007863879975444084,500,0,0.055053572760221714,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.0004045526038382303,4.312522049874216e-05,0.007348344231903054,500,0,0.055053572760221714,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.00040053276738364165,4.34420921331594e-05,0.007275327418405835,500,0,0.055053572760221714,OLS fixed-effect R2
log_frequency,0.0003967224133083882,4.272767811517791e-05,0.007206115669118483,500,0,0.055053572760221714,OLS fixed-effect R2
C(tense):lex_emb_norm,0.00036675555554380423,3.3907428235200616e-05,0.006661793906476475,500,0,0.055053572760221714,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0003577782396591851,3.365860164300385e-05,0.0064987288148843515,500,0,0.055053572760221714,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.00032300243037869516,3.2642813798607946e-05,0.005867056653806792,500,0,0.055053572760221714,OLS fixed-effect R2
lex_emb_norm,0.00031427994682129177,3.189867578820905e-05,0.00570862036856527,500,0,0.055053572760221714,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.00029646645077964886,3.114259160988835e-05,0.005385053792437192,500,0,0.055053572760221714,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0002588168473536734,1.850246490392088e-05,0.004701181674092518,500,0,0.055053572760221714,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.0002588002551684578,2.9736215320672802e-05,0.004700880291559403,500,0,0.055053572760221714,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0002264497060256112,1.929366212671654e-05,0.004113260859778926,500,0,0.055053572760221714,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",0.00022589122814040664,1.9613404812907398e-05,0.004103116597432194,500,0,0.055053572760221714,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",0.00021052664377216245,1.908783986371083e-05,0.0038240323600628495,500,0,0.055053572760221714,OLS fixed-effect R2
C(semantic_role),7.028892162672662e-07,6.254064681737616e-08,1.2767367875080584e-05,500,0,0.055053572760221714,OLS fixed-effect R2
