target_model,predictor,folded_shapley_r2
EleutherAI_pythia-12b-deduped,"C(dominance, Treatment(reference='-dom'))",0.0020752370981292293
EleutherAI_pythia-12b-deduped,C(semantic_role),0.001790318906702555
EleutherAI_pythia-12b-deduped,C(syntactic_role),0.0028269519657623003
EleutherAI_pythia-12b-deduped,C(tense),0.0051464675612025
EleutherAI_pythia-12b-deduped,"C(valence, Treatment(reference='-val'))",0.001787344580822957
EleutherAI_pythia-12b-deduped,lex_emb_norm,0.00427049048060465
EleutherAI_pythia-12b-deduped,log_frequency,0.0047409128096736995
EleutherAI_pythia-2.8b-deduped,"C(dominance, Treatment(reference='-dom'))",0.00328131451544845
EleutherAI_pythia-2.8b-deduped,C(semantic_role),0.00212201162695165
EleutherAI_pythia-2.8b-deduped,C(syntactic_role),0.0022854828054665838
EleutherAI_pythia-2.8b-deduped,C(tense),0.00469529089342915
EleutherAI_pythia-2.8b-deduped,"C(valence, Treatment(reference='-val'))",0.0031937194463556
EleutherAI_pythia-2.8b-deduped,lex_emb_norm,0.00546775072543095
EleutherAI_pythia-2.8b-deduped,log_frequency,0.0033196462962224497
EleutherAI_pythia-6.9b-deduped,"C(dominance, Treatment(reference='-dom'))",0.0018663009821862195
EleutherAI_pythia-6.9b-deduped,C(semantic_role),0.0017853637523623787
EleutherAI_pythia-6.9b-deduped,C(syntactic_role),0.0044491203871496
EleutherAI_pythia-6.9b-deduped,C(tense),0.0050185535590509
EleutherAI_pythia-6.9b-deduped,"C(valence, Treatment(reference='-val'))",0.0020885886573658
EleutherAI_pythia-6.9b-deduped,lex_emb_norm,0.00340541487301435
EleutherAI_pythia-6.9b-deduped,log_frequency,0.0041249457909964
Qwen_Qwen3-4B-Base,"C(dominance, Treatment(reference='-dom'))",0.0030878735967324513
Qwen_Qwen3-4B-Base,C(semantic_role),0.0036365563759696885
Qwen_Qwen3-4B-Base,C(syntactic_role),0.0091841194386031
Qwen_Qwen3-4B-Base,C(tense),0.0045516131565025725
Qwen_Qwen3-4B-Base,"C(valence, Treatment(reference='-val'))",0.003760085430253903
Qwen_Qwen3-4B-Base,lex_emb_norm,0.005723437565906483
Qwen_Qwen3-4B-Base,log_frequency,0.0072160974944367505
Qwen_Qwen3-8B-Base,"C(dominance, Treatment(reference='-dom'))",0.0033967491353788944
Qwen_Qwen3-8B-Base,C(semantic_role),0.00356984664529195
Qwen_Qwen3-8B-Base,C(syntactic_role),0.0091261570538867
Qwen_Qwen3-8B-Base,C(tense),0.00737128512406575
Qwen_Qwen3-8B-Base,"C(valence, Treatment(reference='-val'))",0.0050215092901995
Qwen_Qwen3-8B-Base,lex_emb_norm,0.01809705134880445
Qwen_Qwen3-8B-Base,log_frequency,0.01489498206232625
allenai_Olmo-3-1025-7B,"C(dominance, Treatment(reference='-dom'))",0.0017657796790439039
allenai_Olmo-3-1025-7B,C(semantic_role),0.00220672851668506
allenai_Olmo-3-1025-7B,C(syntactic_role),0.0049131698824203
allenai_Olmo-3-1025-7B,C(tense),0.00419194196293165
allenai_Olmo-3-1025-7B,"C(valence, Treatment(reference='-val'))",0.0028606715054958743
allenai_Olmo-3-1025-7B,lex_emb_norm,0.002638706389214404
allenai_Olmo-3-1025-7B,log_frequency,0.0003837891465815112
allenai_Olmo-3-1125-32B,"C(dominance, Treatment(reference='-dom'))",0.0057340990358564995
allenai_Olmo-3-1125-32B,C(semantic_role),0.005211150874794173
allenai_Olmo-3-1125-32B,C(syntactic_role),0.0184909802508558
allenai_Olmo-3-1125-32B,C(tense),0.01225260197991045
allenai_Olmo-3-1125-32B,"C(valence, Treatment(reference='-val'))",0.0054516037683945
allenai_Olmo-3-1125-32B,lex_emb_norm,0.0037208497784479502
allenai_Olmo-3-1125-32B,log_frequency,0.00419228707196035
google_gemma-3-12b-pt,"C(dominance, Treatment(reference='-dom'))",0.002264211279009659
google_gemma-3-12b-pt,C(semantic_role),0.002196176670756532
google_gemma-3-12b-pt,C(syntactic_role),0.0037019149684572
