target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
EleutherAI_pythia-2.8b-deduped,C(syntactic_role):lex_emb_norm,0.0015151626985985,0.0001046751607128,0.0621854811122637,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0014795009617303,0.0001017811001566,0.0607218480209132,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(tense):C(syntactic_role),0.001463243266435,8.302224088746527e-05,0.0600545978274826,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(tense):C(valence, Treatment(reference='-val'))",0.0014529264292007,9.453341916745308e-05,0.0596311730114146,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(tense):lex_emb_norm,0.0011167167570254,0.0001025114818816,0.0458324171166453,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0010804667315477,0.0001035254918251,0.0443446394167683,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0009693912408265,9.908975221571153e-05,0.0397858663974289,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(tense),0.00096291527683,8.462807166218547e-05,0.0395200791409466,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(semantic_role):lex_emb_norm,0.0009299390262312,9.02775304803416e-05,0.0381666640848174,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,lex_emb_norm,0.0008152414271008,9.295998059461847e-05,0.0334592320770611,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(syntactic_role):log_frequency,0.0007537675873953,3.667843264924955e-05,0.0309362157030174,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.000478403609187,3.533972682810594e-05,0.0196346957529099,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0004281345502343,3.2413437536013086e-05,0.0175715472745788,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(semantic_role):log_frequency,0.0003929521340315,3.626432334402492e-05,0.0161275865169114,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(tense):log_frequency,0.0003871697506456,3.263689739669355e-05,0.0158902652753282,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,log_frequency,0.0003670619922935,3.707122487271064e-05,0.0150650003527111,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0003480478974968,2.7574670717932512e-05,0.0142846216950655,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(valence, Treatment(reference='-val')):log_frequency",0.0003393767971411,3.37804472048705e-05,0.0139287414005649,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(dominance, Treatment(reference='-dom')):log_frequency",0.0003385601962134,3.548989398594541e-05,0.0138952263717097,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(dominance, Treatment(reference='-dom'))",0.0003118539450758,2.792099978390378e-05,0.0127991453520035,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(valence, Treatment(reference='-val'))",0.000281669109661,2.553812079758608e-05,0.0115602958777532,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0002757658835771,2.6547950910236862e-05,0.0113180149963143,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(semantic_role):C(syntactic_role),0.0002024518297622,1.1241284547440204e-05,0.0083090511979138,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(semantic_role),0.0001234740181479,1.1124484559813656e-05,0.0050676348028485,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-2.8b-deduped,C(syntactic_role),6.26322383413358e-06,5.572799534900758e-07,0.0002570559503607,500,0,0.0243652163093062,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(tense):C(syntactic_role),0.0044978480381101,5.944438984016754e-05,0.1978094409609695,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(semantic_role):log_frequency,0.0012209134258032,0.0001096247130885,0.0536941666711716,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(syntactic_role):log_frequency,0.0011752933107416,0.0001090256138383,0.0516878540122167,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,log_frequency,0.0011281648519186,0.000109238394774,0.0496152063784715,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(tense):lex_emb_norm,0.0011021723565198,9.112445995058664e-05,0.0484720906172321,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(dominance, Treatment(reference='-dom')):log_frequency",0.001063249119689,0.0001063686792365,0.0467602978548592,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(tense):log_frequency,0.0010495347402233,9.858267108140716e-05,0.046157157483678,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(syntactic_role):lex_emb_norm,0.0010253042433254,9.231034450521428e-05,0.0450915320990529,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.000983713771836,9.26563346791599e-05,0.0432624378644554,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(valence, Treatment(reference='-val')):log_frequency",0.0009694048908369,0.0001015070205289,0.042633152097741,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(tense):C(valence, Treatment(reference='-val'))",0.0009160361315249,5.397478447712566e-05,0.0402860642559909,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0009117942868995,8.948664693964331e-05,0.0400995135084153,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,lex_emb_norm,0.0007738540308361,8.39848399524504e-05,0.034033082471457,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(semantic_role):lex_emb_norm,0.0007249706349142,8.174962899741037e-05,0.0318832550122687,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0007113364955591,4.830817694843126e-05,0.0312836434956158,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(semantic_role):C(syntactic_role),0.000679559845508,2.1449015132502823e-05,0.0298861482203283,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(tense):C(semantic_role),0.0006761450114268,4.849796731380928e-05,0.0297359683087671,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.00056117010239,2.070732604461168e-05,0.0246795230290663,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(tense),0.0005420171723689,4.763645276911463e-05,0.0238372023574613,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,log_frequency:lex_emb_norm,0.0005151663908616,5.100628902990181e-05,0.0226563403020237,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0004949703064267,3.199944377013371e-05,0.0217681430713009,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0003473932237907,1.5893828042115617e-05,0.0152778970764324,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(syntactic_role),0.0002320474638987,2.064677924877741e-05,0.0102051422638782,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0001933849781287,1.6449970811745458e-05,0.0085048169902083,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(valence, Treatment(reference='-val'))",0.0001720967485621,1.560351278469985e-05,0.0075685886530251,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",4.2914758129629193e-05,2.225484659567402e-06,0.0018873346192824,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,C(semantic_role),1.6419425407114164e-05,1.479320485088309e-06,0.0007221047338998,500,0,0.0227382880021266,OLS fixed-effect R2
EleutherAI_pythia-6.9b-deduped,"C(dominance, Treatment(reference='-dom'))",1.1412246489004965e-05,1.021764633043142e-06,0.0005018955907295,500,0,0.0227382880021266,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,log_frequency:lex_emb_norm,0.0110292074716589,1.0561766753892049e-05,0.2968049478201657,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(tense):C(syntactic_role),0.0036553395400066,0.0002644886953146,0.0983681614680413,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(semantic_role):C(syntactic_role),0.0031021869276067,0.0002514426280066,0.0834823745534489,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0030428900100525,0.0002495859069642,0.0818866462505939,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0026464116096461,0.0002298770252519,0.071217089870698,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(syntactic_role),0.0026176357426544,0.0002329081577718,0.0704427078742668,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0014007314067757,2.8379798255203075e-05,0.0376948219685281,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(tense):C(semantic_role),0.0012202230644561,8.481303780661709e-05,0.0328371955922957,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(tense):C(valence, Treatment(reference='-val'))",0.0012023328759314,7.55035506102886e-05,0.0323557560613757,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0008675608308353,3.723157138090687e-05,0.023346767914972,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0007913276211165,5.522910956279216e-05,0.0212952702084615,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0007835236074639,6.309932271152966e-05,0.0210852578507379,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(tense):log_frequency,0.0007536985014852,3.808486290051588e-05,0.0202826399793739,500,0,0.0371597830584062,OLS fixed-effect R2
Qwen_Qwen3-4B-Base,C(tense),0.0007076123446711,6.219017358517474e-05,0.019042423997981,500,0,0.0371597830584062,OLS fixed-effect R2
