,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5576664473792879,0.02156924509598604,0.15831214955166872
carpenter,2.440104781825001,0.1821058166363091,0.060742497659058835
cashier,-0.855886303979363,0.016810422159110015,-0.010104799610962459
ceo,0.4300321385306934,-0.0009458840357586552,-0.029227242317894437
cleaner,-0.7432067293037784,-0.03996851428939211,-0.05161909322876438
cook,-0.10246151425082263,0.0343581223454985,-0.0044404931798577105
designer,0.2605659831860452,-0.03573096180979425,-0.007033665025275071
driver,1.0412431309460213,-0.013215316771208376,-0.12425636204991333
lawyer,0.9932569735718146,-0.07141181922804576,0.09842400217262215
manager,0.5164926981624866,0.04147995559922707,-0.018984093273561802
receptionist,-2.1809370616064827,-0.024940631682239915,0.08884461718265999
salesperson,0.22155350339105997,-0.028260875293143098,-0.07263061028142212
secretary,-1.896035454038141,-0.06473174391555474,0.013268828426756139
teacher,-0.682388594067613,-0.017117814818974782,-0.10129573602654231
