,Group
CEO,0.43379408068145314
accountant,0.07166990986681439
administrator,-0.30942386306711755
agronomist,0.5917793015754623
bodyguard,1.351644794806127
bookbinder,-0.04886109918732277
builder,1.2868760261197316
cashier,-1.1312873473220866
chauffeur,1.988345035160145
colonel,1.6107590908596319
doctor,0.19980465372246062
electrician,1.4321163972449458
farmer,1.64849289090955
farmhand,0.682835936106062
fisherman,2.5397516149003105
hairdresser,-1.6378512067963522
hawker,0.9599012383781178
housekeeper,-3.130095251723656
manager,0.1939448922870272
midwife,-3.4734404432020054
molder,-0.26023721510112524
nurse,-2.762021376232728
paralegal,-1.5273692988715009
programmer,0.40273400776635676
salesperson,-0.25473943615371647
scientist,0.13735793050298667
scrivener,0.29148077252242766
secretary,-2.3880513811547233
sergeant,0.8330329475545565
soldier,0.9968533931681475
solicitor,-0.2007311630315083
teacher,-1.361000941684471
tradesperson,0.013662556047612524
welder,0.8182725535476427
