,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,1.5509249800144735,-0.018128156901472823,0.00038821995575509587,-0.06618382802791554,-0.12755000650547432,-0.007332055288165981,0.060269332612837755,-0.26574924996078575,-0.02281211984458315,-0.03394189781366924
C(tense)[T.past perfect],-0.018128156901472823,0.0035921429061633965,-0.005679782758150376,-0.0020680346239474044,-0.001329453981890655,0.0017978355200733726,-0.0015114911397591246,0.003449044627177869,0.0009993728639335216,0.0017737081446010518
C(tense)[T.present continuous],0.00038821995575509587,-0.005679782758150376,0.01685879992043528,0.009763030361343827,0.01719865406460487,-0.0026406889468757982,0.001084410605405121,0.0008761911941368284,0.0016224058571118454,-0.003378924127945863
C(tense)[T.present perfect],-0.06618382802791554,-0.0020680346239474044,0.009763030361343827,0.0092085093196689,0.017654664413002084,-0.000652773148792193,-0.00248698485510545,0.011640150433215984,0.0017637709594223961,0.00042419952672417615
C(tense)[T.simple future],-0.12755000650547432,-0.001329453981890655,0.01719865406460487,0.017654664413002084,0.04762863075331232,0.0012930680541117187,-0.006079010388121729,0.028001425187709185,0.0014604120578628076,0.0029842487300990313
C(tense)[T.simple past],-0.007332055288165981,0.0017978355200733726,-0.0026406889468757982,-0.000652773148792193,0.0012930680541117187,0.0021422894820824633,-0.0012072365716415331,0.0019500516491988832,0.0005848250194022164,0.0019309129229278
C(semantic_role)[T.patient],0.060269332612837755,-0.0015114911397591246,0.001084410605405121,-0.00248698485510545,-0.006079010388121729,-0.0012072365716415331,0.005500923525075646,-0.012252455420527438,-0.0008503722356639047,-0.002465285801950219
C(syntactic_role)[T.subject],-0.26574924996078575,0.003449044627177869,0.0008761911941368284,0.011640150433215984,0.028001425187709185,0.0019500516491988832,-0.012252455420527438,0.09922307851936323,0.0051834288364271,0.007932791297063356
"C(valence, Treatment(reference='-val'))[T.+val]",-0.02281211984458315,0.0009993728639335216,0.0016224058571118454,0.0017637709594223961,0.0014604120578628076,0.0005848250194022164,-0.0008503722356639047,0.0051834288364271,0.0037834846198617758,-0.0003372240875741724
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.03394189781366924,0.0017737081446010518,-0.003378924127945863,0.00042419952672417615,0.0029842487300990313,0.0019309129229278,-0.002465285801950219,0.007932791297063356,-0.0003372240875741724,0.004188228672894581
