,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
CEO,0.4465065119599091,-0.059843773314651835,0.0946357576409189,0.036727836469108086,0.10582860375173844,0.00777814937555292,0.06545304462412285,-0.12965884122246468,-0.032456973251067264,0.01496371104538187
accountant,0.011769261408463683,0.023097711657444925,-0.018779955267580875,-0.02293497274440462,-0.06352551947827526,0.021674761030013655,-0.011928940638819573,0.1495400795092904,0.06017758135353962,-0.021152286134004786
administrator,-0.46558328943317795,-0.06930748770517081,0.13498035091539798,0.10217066598670778,0.2432406619225538,-0.03748080652199742,0.02915484666104229,0.2248121919584341,-0.05708980109953793,0.018521350037544806
agronomist,0.5874240454984025,0.00849775237634566,0.01297025557067126,-0.011262019493111279,-0.06765824405946749,-0.009879501690261895,0.017308092590258797,0.02857483329206542,0.034547121135511755,0.009118312972061476
bodyguard,1.7144636112014258,-0.12132358412605929,0.16341950812484862,0.028286046514241263,-0.05035083663774321,-0.025575410522239148,0.01805490266126101,-0.6595708710656182,-0.05390605813643758,-0.03812026329929736
bookbinder,0.3197388693033072,0.07368132647724748,-0.2905941139307241,-0.17682843887457939,-0.321257632955463,0.03207260726891609,-0.019648029798767522,-0.443478253197078,-0.08623435495908001,0.04012371042743533
builder,1.5028244246241271,-0.09671854860998377,0.030289618345207586,-0.06001288248248893,-0.29711069677127155,-0.06035076093115677,0.08218181075992555,-0.21965167868011354,-0.06374491831930951,-0.05940876918204695
cashier,-1.2825251414767036,-0.019528583974378833,0.10982364707080824,0.12863903911241872,0.28044123507276203,0.003554368821150858,-0.10832023683551739,0.2063872664930321,0.011170825461797429,0.014571920695402696
chauffeur,2.368126727838909,0.007874542239722608,-0.007900736913690707,-0.07642355085011487,-0.039273088131999714,0.028882709126200633,0.11081042308863687,-0.7704645554899469,-0.05157593693036996,-0.021931087548128992
colonel,1.6715091607663852,0.05368854571848935,-0.046965951662677835,-0.09310360041558575,-0.16154085468232826,0.048954933326011814,0.08239568560059618,-0.17053134532991482,0.07919933166918346,-0.006656960359624105
doctor,0.24063485549696656,0.01578172446478032,-0.037526309610279474,-0.038135681884356884,-0.06811978398473517,0.00046165414098032,-0.02358177626210118,-0.08357251929157401,0.002023647847362196,-0.022568536243123175
electrician,1.5824444035916216,-0.01867098097395918,0.07960080897291594,-0.045139099938723275,-0.1202808644549464,-0.044603206445216634,0.1295597856477696,-0.2870164924837502,0.041337521866265936,-0.1506035405891839
farmer,1.868064849400722,-0.003039274263740087,-0.11549582187971114,-0.15053406337287223,-0.3516412859308574,-0.014914476173851235,0.07214166865650613,-0.2105515987231536,-0.04528979740839426,-0.005401729754302045
farmhand,1.0394310849024904,-0.04383419720713835,0.011990446790646016,-0.0635129696470058,-0.2689150893991862,-0.049141015676986456,0.06346337768987209,-0.5837618838515687,-0.006321591898272708,-0.09669327775835705
fisherman,2.67543665362071,-0.07254909655148292,0.05909809378684637,-0.10106752978488806,-0.3696624183069953,-0.03461504680742293,0.15186782223302667,-0.21991945989160222,0.03010410639721331,-0.06705077412841141
hairdresser,-2.095443177101621,-0.004870145221642313,0.07200776802242721,0.10530299455080222,0.18987699204072725,-0.0014157581200353667,-0.09572538685628708,0.8417032838761033,0.07841114517036768,0.024872174481693543
hawker,0.9837363586212949,-0.01797041519527006,0.012865298195251833,-0.01687791106739879,0.06314115445876545,-0.040286220158365,-0.034580564881433754,0.09385756668339768,-0.09223291833601394,-0.008166972184398685
