,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,1.2932590533711907,0.010999449619467276,-0.09821877661717242,-0.10046254276427256,-0.12405127948682827,-0.014544532364306424,-0.018182306002318117,-0.07903761993476811,-0.06314159372645677,-0.01899063358134597
C(tense)[T.past perfect],0.010999449619467276,0.004965616272509441,-0.002638763334794395,-0.0007734657762928801,-0.0004451347138893988,-6.657134920826026e-05,-0.0002297397912394954,-0.005811459536715662,-0.00139040281782994,0.0038520682506866283
C(tense)[T.present continuous],-0.09821877661717242,-0.002638763334794395,0.021478871498573332,0.01754420488813045,0.021285690360380586,0.0005928289294701904,0.0008165436655962693,0.009790372741327878,0.00993191787724995,-0.001144990441097899
C(tense)[T.present perfect],-0.10046254276427256,-0.0007734657762928801,0.01754420488813045,0.0172404585556232,0.022195306571652102,0.0021605473795527834,0.003108401078892223,0.008323697200465356,0.008386513280796285,0.0012120986827843284
C(tense)[T.simple future],-0.12405127948682827,-0.0004451347138893988,0.021285690360380586,0.022195306571652102,0.0739427509790155,0.007046988880040603,0.0028904852264984415,0.007714861294260438,0.013597942219429927,0.0009818449620076681
C(tense)[T.simple past],-0.014544532364306424,-6.657134920826026e-05,0.0005928289294701904,0.0021605473795527834,0.007046988880040603,0.0017849330921138923,0.001431341795720946,0.0010523018020277648,0.001407748329051333,0.0008225383241822403
C(semantic_role)[T.patient],-0.018182306002318117,-0.0002297397912394954,0.0008165436655962693,0.003108401078892223,0.0028904852264984415,0.001431341795720946,0.0033303514142266405,0.002159453324855018,0.0011274470531951954,0.0008237797384994471
C(syntactic_role)[T.subject],-0.07903761993476811,-0.005811459536715662,0.009790372741327878,0.008323697200465356,0.007714861294260438,0.0010523018020277648,0.002159453324855018,0.024987119414975056,0.006724593564533539,-0.0008360917682981887
"C(valence, Treatment(reference='-val'))[T.+val]",-0.06314159372645677,-0.00139040281782994,0.00993191787724995,0.008386513280796285,0.013597942219429927,0.001407748329051333,0.0011274470531951954,0.006724593564533539,0.00938318275088584,0.0002591317710430725
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.01899063358134597,0.0038520682506866283,-0.001144990441097899,0.0012120986827843284,0.0009818449620076681,0.0008225383241822403,0.0008237797384994471,-0.0008360917682981887,0.0002591317710430725,0.00534361463280308
