target_model,term,coef,std_err,t,p_value,ci_low,ci_high
EleutherAI_pythia-12b-deduped — log(1 + x) counts,Intercept,3.669730401781226,0.0919535152268948,39.90853849062956,0.0,3.489491438324235,3.849969365238217
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense)[T.past perfect],0.0915952284808415,0.036059923477632,2.540083828454547,0.011091792587638,0.0209138280590135,0.1622766289026695
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense)[T.present continuous],0.1197110832055294,0.0360599234776318,3.319781953497125,0.0009028543849185,0.0490296827837018,0.1903924836273571
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense)[T.present perfect],0.1599342301592501,0.0360599234776316,4.435234873930307,9.25738742971548e-06,0.0892528297374228,0.2306156305810774
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense)[T.simple future],0.4540423027327188,0.0360599234776318,12.591327405737957,3.473605303932496e-36,0.3833609023108912,0.5247237031545464
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(tense)[T.simple past],0.0662640137868481,0.0360599234776317,1.837608275235308,0.0661383411952523,-0.0044173866349794,0.1369454142086756
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(semantic_role)[T.patient],0.0210090139810283,0.020819206526768,1.0091169398803128,0.3129335359061868,-0.0197989115792135,0.0618169395412702
EleutherAI_pythia-12b-deduped — log(1 + x) counts,C(syntactic_role)[T.subject],-0.0808924643325443,0.020819206526768,-3.885472975568876,0.0001025347581406,-0.1217003898927861,-0.0400845387723024
EleutherAI_pythia-12b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))[T.+val]",-0.0133137291353465,0.0208192065267679,-0.639492629953431,0.5225114947845968,-0.0541216546955883,0.0274941964248953
EleutherAI_pythia-12b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.0247023495781358,0.0208192065267679,1.1865173413970027,0.2354353527338679,-0.0161055759821059,0.0655102751383776
