Model,Tense,Semantic role,Syntactic role,Valence,Dominance,Log frequency,Lex emb norm,Profession embedding
"Gemma3 4B
PPMI",0.0120145403842823,0.0002995851343360098,0.038632083793978644,0.00308536589301248,0.00032378956113391814,0.05138407277649479,-0.010223305461261663,0.574575217123932
"Gemma3 12b
TF-IDF",0.009986042029022098,,0.005603916434424528,0.0008810346607792126,,0.01962156199866587,-0.01815032055584509,1.7108695536456897
"Gemma3 12b
Raw counts",0.00998604202902232,,0.00560391643442465,0.0008810346607791629,3.275575281831508e-05,-0.005980604322173792,0.015848520438307524,1.165187259464855
"Gemma3 12b
log(1 + x) counts",0.00998604202902198,2.18257160811741e-05,0.005603916434424864,0.0008810346607792426,3.2755752818298335e-05,-0.07751044560188558,0.012287896523532018,1.1959867990233406
"Gemma3 12b
PPMI",0.009986042029021808,,0.005603916434424663,0.0008810346607791643,,0.03295932322862388,-0.03272099242573685,0.713477531121093
"Mistral 7B
TF-IDF",0.02398357918193907,0.00011580186563998679,0.0014165507615686056,0.00022969615424300356,0.0018440699023185118,0.02395017054488941,-0.006977334352190563,1.7207503508989024
"Mistral 7B
Raw counts",0.02398357918193897,0.00011580186563995812,0.0014165507615686026,0.0002296961542430012,0.001844069902318427,-0.04077860283878185,0.0249156636002425,1.399249207873764
"Mistral 7B
log(1 + x) counts",0.02398357918193903,0.00011580186563998403,0.0014165507615686713,0.0002296961542430054,0.0018440699023184312,-0.1278417807259551,0.022048366847431722,1.4249738332608426
"Mistral 7B
PPMI",0.023983579181939142,0.00011580186563998034,0.0014165507615686848,0.00022969615424301516,0.0018440699023184134,0.045005465541273104,0.004966974883379658,0.6208034313885553
"OLMo3 7B
TF-IDF",0.010535637473029845,0.0006836333236006941,0.012097876504672063,0.006326639203889277,0.00046964038699478806,-0.00018163653145358838,0.022036438104549003,1.9205216621355348
"OLMo3 7B
Raw counts",0.010535637473029647,0.0006836333236006528,0.012097876504671978,0.00632663920388946,0.0004696403869947802,9.371759065994814e-05,0.01670886731230803,1.4909059433472225
"OLMo3 7B
log(1 + x) counts",0.010535637473029826,0.0006836333236006311,0.012097876504671886,0.00632663920388944,0.0004696403869947787,0.000867512534069137,0.01049556132084092,1.4419386703122676
"OLMo3 7B
PPMI",0.010535637473029684,0.0006836333236006737,0.012097876504672055,0.006326639203889511,0.0004696403869947648,-0.00031656569538848767,0.0038399802400595614,0.8801080254606307
"OLMo3 32B
TF-IDF",0.041419201712970324,,0.07908299493508508,0.003256147621204048,0.0032608675740470132,0.030361458505129273,0.019288980736002423,2.045789272136351
"OLMo3 32B
Raw counts",0.04141920171297091,,0.07908299493508496,0.003256147621204593,0.003260867574047362,0.0027400698833439457,0.00404166145078408,1.5026184534879206
"OLMo3 32B
log(1 + x) counts",0.041419201712970394,,0.07908299493508485,0.003256147621204493,0.003260867574047281,-0.09834672795862046,-0.005008582519947701,1.442763336121256
"OLMo3 32B
PPMI",0.04141920171296977,,0.07908299493508476,0.003256147621204539,0.003260867574047392,0.03877146825986723,-0.002294448266655846,0.7394188268427563
"Falcon3 3B
TF-IDF",0.014586083930212075,,0.014258648349099264,0.0006673461848772849,0.0011302381572014055,0.03296111154919532,-0.009320798595740499,1.2763636300976304
"Falcon3 3B
Raw counts",0.01458608393021222,8.235203170067079e-05,0.014258648349099484,0.000667346184877243,0.0011302381572014808,0.005364380099263105,0.06999265797780117,0.8847726285003606
"Falcon3 3B
log(1 + x) counts",0.014586083930212025,8.235203170067656e-05,0.014258648349099507,0.0006673461848772304,0.0011302381572014732,-0.0716503601656251,0.06499494105201994,0.955475452634257
"Falcon3 3B
PPMI",0.014586083930212062,,0.014258648349099476,0.0006673461848772207,0.001130238157201508,0.05538298678244196,0.07239486503789616,0.5261489142537187
"Falcon3 7B
TF-IDF",0.03486241362937454,0.0006125131744769414,0.047826028733175256,0.007061838148215097,,0.023151185923456653,-0.03974895540713777,1.2995148328942117
"Falcon3 7B
Raw counts",0.034862413629374506,0.0006125131744769039,0.0478260287331759,0.007061838148215321,0.0002457298174639415,-0.01524856462991054,0.06173215140316984,0.9793878103063027
"Falcon3 7B
log(1 + x) counts",0.034862413629374464,0.0006125131744769217,0.04782602873317538,0.007061838148215347,0.0002457298174639501,-0.08177678730284788,0.054194208282783304,1.0262922160225774
"Falcon3 7B
PPMI",0.034862413629374187,0.0006125131744769077,0.047826028733175735,0.007061838148215259,,0.05197652936950489,0.02377726917770521,0.6261545357445089
"Falcon3 10B
TF-IDF",0.027344994670860233,,0.02032741351648229,0.00811422338119137,,0.010206519830140223,-0.054658944310123664,1.6725342030940031
"Falcon3 10B
Raw counts",0.02734499467086064,0.00016604051821043705,0.020327413516482644,0.008114223381191332,0.00014813271584544538,-0.006993077504932868,0.10137712551157776,1.1091485972936268
"Falcon3 10B
log(1 + x) counts",0.027344994670860528,0.0001660405182104637,0.02032741351648224,0.00811422338119137,0.00014813271584543085,-0.03140324425037841,0.1105801706258169,1.0346988434820776
"Falcon3 10B
PPMI",0.027344994670860313,,0.020327413516482203,0.008114223381191298,,0.02726067678271613,0.09150581192285885,0.6839291727491599
"Pythia 2.8b
TF-IDF",0.010464512336858413,0.0013960742889093764,6.941362113514254e-05,0.00321722390816208,0.0034907551267401834,0.020468687524644674,-0.04796679489966002,1.6473085232295643
"Pythia 2.8b
Raw counts",0.010464512336858233,0.0013960742889093146,6.941362113511473e-05,0.0032172239081621258,0.003490755126740067,,-0.0038005399235762263,1.0036617121334601
"Pythia 2.8b
log(1 + x) counts",0.010464512336858491,0.0013960742889092964,6.941362113513014e-05,0.003217223908162077,0.0034907551267400294,-0.06863317344777453,0.015213028881911814,1.0420703582433866
"Pythia 2.8b
PPMI",0.010464512336858365,0.001396074288909339,6.941362113514894e-05,0.0032172239081619627,0.003490755126739958,0.038974876974252004,-0.021673472823610644,0.7544671627270969
"Pythia 6.9b
TF-IDF",0.007817684753546012,0.0002463911431823945,0.0034131689377813004,0.0026088488724244547,0.00016954050614420997,0.053652822993502006,-0.05714289724796895,2.0956770826344018
"Pythia 6.9b
Raw counts",0.00781768475354584,0.00024639114318237285,0.003413168937781673,0.0026088488724245232,0.0001695405061441578,0.018838510256242332,-0.011396934148573162,1.4915022306412786
"Pythia 6.9b
log(1 + x) counts",0.00781768475354593,0.0002463911431824082,0.0034131689377816126,0.002608848872424508,0.0001695405061441651,-0.13669396454819616,0.0010954289719846367,1.5345429399698454
"Pythia 6.9b
PPMI",0.007817684753545853,0.0002463911431824021,0.0034131689377817054,0.0026088488724245046,0.0001695405061441445,0.07736368966952709,-0.01981198564883844,0.9020735689551727
"Pythia 12b
TF-IDF",0.021062749395727495,0.00011035142884347215,0.0016359979414199636,,0.0001525608667624183,0.05814475830752196,-0.05698237317133126,2.4393490684214516
"Pythia 12b
Raw counts",0.02106274939572719,0.00011035142884346982,0.001635997941419933,,0.00015256086676244227,0.03325978274252671,-0.013859617923682276,1.6425069496621765
"Pythia 12b
log(1 + x) counts",0.02106274939572727,0.00011035142884347064,0.0016359979414198663,4.431656134791634e-05,0.00015256086676243395,-0.10274924145217201,-0.0015560095714908008,1.6012127110217507
"Pythia 12b
PPMI",0.02106274939572748,0.0001103514288434588,0.0016359979414199185,,0.00015256086676243327,0.08777873445887428,-0.018125400566659844,0.8872281303163744
"Llama3.1 8B
TF-IDF",0.023053783181925195,,0.02315722171539094,0.000163789527004921,0.0002757360718357434,0.033322282425800064,0.02407859910106106,1.7384939306503184
"Llama3.1 8B
Raw counts",0.023053783181924838,,0.023157221715391037,0.00016378952700492387,0.00027573607183574076,0.0032589347257319574,0.011827704676904263,1.2508485350566463
"Llama3.1 8B
log(1 + x) counts",0.023053783181925625,,0.023157221715390905,0.00016378952700492528,0.00027573607183573485,-0.12918530247958884,-0.0016378486912031233,1.3274929760094498
"Llama3.1 8B
PPMI",0.023053783181925,,0.02315722171539094,0.00016378952700492016,0.0002757360718357479,0.05923378184489589,,0.6764215224151184
"Llama3.1 70B
TF-IDF",0.040220059855404576,0.00012879125019930182,0.0019060736209484837,0.0001015294194320078,0.0013707764264890814,-0.0010073434110071111,0.015597457640617613,1.4942115363232502
"Llama3.1 70B
Raw counts",0.040220059855404514,0.00012879125019948456,0.0019060736209493385,0.00010152941943211901,0.0013707764264892547,,0.0073454972084279905,1.1078323559564192
"Llama3.1 70B
log(1 + x) counts",0.040220059855405,0.00012879125019946293,0.0019060736209493116,0.00010152941943212463,0.001370776426489323,0.00516856570587354,-0.00017500694165996865,1.0413982127476473
"Llama3.1 70B
PPMI",0.040220059855404645,0.00012879125019949107,0.0019060736209493166,0.00010152941943212123,0.0013707764264892545,-0.002006103126658443,,0.6641721068716017
