Model,Tense,Semantic role,Syntactic role,Valence,Dominance,Log frequency,Lex emb norm,Profession embedding
"GPT2
TF-IDF",0.01218888645256232,0.002666182042452876,0.00014678671151128887,0.002397578656679705,0.0007556681178630628,-0.01680863565710835,-0.06855347974983533,1.236240106243705
"GPT2
Raw counts",0.012188886452562085,0.0026661820424529986,0.00014678671151131074,0.0023975786566796512,0.0007556681178630625,0.009874059834265321,0.06136952522012008,0.9032513171040987
"GPT2
log(1 + x) counts",0.012188886452562534,0.0026661820424529496,0.00014678671151130025,0.0023975786566796642,0.0007556681178630642,0.07109257430762994,0.09460626694784088,0.8227661014823855
"GPT2
PPMI",0.0121888864525623,0.0026661820424529665,0.00014678671151130442,0.0023975786566796486,0.0007556681178630717,-0.04027112875612607,0.01801657203847493,0.6623465417951604
"Qwen3 4B
TF-IDF",0.008530802986897366,0.004985127611973097,0.03218248493218154,0.003922792933674097,0.00019393314457921164,0.02527627932357178,0.0032786607715505622,1.7595023418838438
"Qwen3 4B
Raw counts",0.008530802986897252,0.004985127611973399,0.03218248493218049,0.003922792933673976,0.00019393314457927238,0.002741702282284975,-0.0004357074637561485,1.2861722890876583
"Qwen3 4B
log(1 + x) counts",0.008530802986897526,0.004985127611973095,0.0321824849321812,0.003922792933674087,0.0001939331445792369,-0.0919809120536057,-0.002455424734147074,1.3174908327093884
"Qwen3 4B
PPMI",0.008530802986897406,0.004985127611973089,0.03218248493218119,0.0039227929336740665,0.00019393314457923655,0.03593699047545107,-0.001520079596939226,0.7249469291077396
"Qwen3 8B
TF-IDF",0.019667879624567546,0.0016763463453021048,0.02835896846790916,0.008587568665806884,0.00124669286936203,0.006441481936856966,0.038974270001945324,1.7941847811279477
"Qwen3 8B
Raw counts",0.019667879624568035,0.0016763463453020424,0.028358968467909126,0.008587568665807042,0.0012466928693620097,-0.0026358412102066523,-0.0025571177514934662,1.319498246043871
"Qwen3 8B
log(1 + x) counts",0.01966787962456785,0.001676346345301824,0.02835896846791007,0.008587568665807364,0.0012466928693618564,-0.03397160554655221,-0.01908122367598603,1.2936264987095067
"Qwen3 8B
PPMI",0.019667879624567463,0.0016763463453020558,0.02835896846790931,0.008587568665807052,0.0012466928693619817,0.013128636004765326,,0.7918118915195546
"Gemma3 4B
TF-IDF",0.0120145403842823,0.0002995851343360036,0.038632083793978506,0.0030853658930125112,0.00032378956113388485,0.03152811585421529,-0.006518367990472441,1.333878398492777
"Gemma3 4B
Raw counts",0.012014540384281324,0.0002995851343360079,0.03863208379397855,0.0030853658930124384,0.00032378956113392123,-0.010842497587075813,0.002021842258580612,0.9559071313887538
"Gemma3 4B
log(1 + x) counts",0.012014540384282272,0.00029958513433602613,0.03863208379397901,0.003085365893012543,0.00032378956113393944,-0.08755786904875362,0.00260313854635751,1.0600087932966604
