target_model,embedding_method,embedding_method_label,model_name,model_dir,formula,model_type,optimizer,converged,nobs,aic,bic,log_likelihood,residual_variance,R2m,R2c,warnings,fixed_effect_variance_C(tense),fixed_effect_variance_C(semantic_role),fixed_effect_variance_C(syntactic_role),"fixed_effect_variance_C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_log_frequency,fixed_effect_variance_lex_emb_norm,fixed_effect_variance_profession_embedding
EleutherAI_pythia-12b-deduped,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__EleutherAI_pythia-12b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,43168.04364453101,43329.74672372989,-21563.021822265506,0.8236066010312064,0.7496714511197746,0.7496714511197746,[],0.02106274939572759,0.00011035142884343804,0.0016359979414193129,,0.00015256086676222213,0.05814475830752094,-0.05698237317133084,2.4393490684214574
EleutherAI_pythia-2.8b-deduped,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,38027.635459401456,38197.03868522885,-18991.817729700728,0.601036583996161,0.7318711529095794,0.7318711529095794,[],0.01046451233685854,0.001396074288909352,6.941362113511208e-05,0.0032172239081620776,0.0034907551267399305,0.02046868752464496,-0.047966794899659465,1.6473085232295588
EleutherAI_pythia-6.9b-deduped,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,43983.81148795566,44145.51456715454,-21970.90574397783,0.865821497807462,0.7089527806348931,0.7089527806348931,[],0.007817684753545906,0.0002463911431823188,0.0034131689377817857,0.0026088488724246937,0.00016954050614406173,0.05365282299350396,-0.05714289724796853,2.0956770826343942
Qwen_Qwen3-4B-Base,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__Qwen_Qwen3-4B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,39216.27252293093,39385.67574875832,-19586.136261465464,0.6464455409703089,0.7400373333202098,0.7400373333202098,[],0.008530802986897438,0.004985127611973172,0.03218248493218182,0.003922792933673934,0.0001939331445792394,0.025276279323571876,0.0032786607715499655,1.7595023418838482
Qwen_Qwen3-8B-Base,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__Qwen_Qwen3-8B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,41338.18506531845,41507.58829114585,-20647.092532659226,0.7362046291633025,0.7209009345413744,0.7209009345413744,[],0.01966787962456736,0.0016763463453020907,0.028358968467909498,0.008587568665807037,0.0012466928693619808,0.006441481936856196,0.03897427000194556,1.7941847811279428
allenai_Olmo-3-1025-7B,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__allenai_Olmo-3-1025-7B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,41927.90887733725,42097.312103164644,-20941.954438668625,0.7632938993775694,0.7212552188652459,0.7212552188652459,[],0.010535637473029612,0.0006836333236006588,0.012097876504672013,0.006326639203889453,0.00046964038699477944,-0.00018163653145358838,0.02203643810454914,1.9205216621355319
allenai_Olmo-3-1125-32B,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__allenai_Olmo-3-1125-32B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,42894.22334628056,43048.226278850925,-21427.11167314028,0.8099528068874003,0.7331294279934256,0.7331294279934256,[],0.04141920171297023,,0.07908299493508562,0.003256147621204721,0.003260867574047569,0.030361458505129054,0.019288980736002256,2.0457892721363473
google_gemma-3-12b-pt,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__google_gemma-3-12b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,39322.4555331443,39468.75831908614,-19642.22776657215,0.650784697819987,0.7267339077808845,0.7267339077808845,[],0.009986042029022155,,0.005603916434424739,0.0008810346607790841,,0.01962156199866614,-0.018150320555845145,1.7108695536456848
google_gemma-3-4b-pt,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__google_gemma-3-4b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,40797.725040630525,40959.428119829405,-20377.862520315262,0.712267027295678,0.6651692059648875,0.6651692059648875,[],0.01201454038428231,0.0002995851343360139,0.03863208379397883,0.0030853658930123785,0.00032378956113393787,0.031528115854215284,-0.006518367990472448,1.333878398492777
gpt2,tfidf,TF-IDF,selected_profession_embedding,profession_selected_collocates_data/runs/tfidf/he_she_odds_results__gpt2/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,38120.039872327914,38281.742951526794,-19039.019936163957,0.6044863162621614,0.6594354825386308,0.6594354825386308,[],0.012188886452562352,0.0026661820424529552,0.00014678671151130366,0.002397578656679602,0.0007556681178630481,-0.016808635657108377,-0.06855347974983524,1.2362401062437016
