target_model,predictor,folded_shapley_r2
EleutherAI_pythia-2.8b-deduped — Raw counts,C(semantic_role),0.0006236061522624
EleutherAI_pythia-2.8b-deduped — Raw counts,C(syntactic_role),3.1006058584806874e-05
EleutherAI_pythia-2.8b-deduped — Raw counts,C(tense),0.0046743460040293
EleutherAI_pythia-2.8b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.0014370872941889
EleutherAI_pythia-2.8b-deduped — Raw counts,lex_emb_norm,0.0033608307102611
EleutherAI_pythia-2.8b-deduped — Raw counts,profession_embedding,0.4432626644373313
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0015592697253792
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(semantic_role),0.0006236061522624
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(syntactic_role),3.1006058584817974e-05
EleutherAI_pythia-2.8b-deduped — TF-IDF,C(tense),0.0046743460040293
EleutherAI_pythia-2.8b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.001437087294189
EleutherAI_pythia-2.8b-deduped — TF-IDF,lex_emb_norm,0.0258664233983427
EleutherAI_pythia-2.8b-deduped — TF-IDF,log_frequency,0.0109003363387404
EleutherAI_pythia-2.8b-deduped — TF-IDF,profession_embedding,0.6867790779380497
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0015592697253791
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(semantic_role),0.0006236061522624
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(syntactic_role),3.1006058584803764e-05
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(tense),0.0046743460040293
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0014370872941889
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,lex_emb_norm,0.0049661523770303
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,log_frequency,0.0166820868456251
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding,0.4199674832232478
EleutherAI_pythia-6.9b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",5.7061232445053455e-05
EleutherAI_pythia-6.9b-deduped — PPMI,C(semantic_role),8.292639094501109e-05
EleutherAI_pythia-6.9b-deduped — PPMI,C(syntactic_role),0.0011487498212808
EleutherAI_pythia-6.9b-deduped — PPMI,C(tense),0.0026311513221793
EleutherAI_pythia-6.9b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",0.000878044635521
EleutherAI_pythia-6.9b-deduped — PPMI,lex_emb_norm,0.0050952879835715
EleutherAI_pythia-6.9b-deduped — PPMI,log_frequency,0.028134786730017
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding,0.2897452543493836
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",5.7061232445051015e-05
EleutherAI_pythia-6.9b-deduped — Raw counts,C(semantic_role),8.29263909450102e-05
EleutherAI_pythia-6.9b-deduped — Raw counts,C(syntactic_role),0.0011487498212808
EleutherAI_pythia-6.9b-deduped — Raw counts,C(tense),0.0026311513221793
EleutherAI_pythia-6.9b-deduped — Raw counts,"C(valence, Treatment(reference='-val'))",0.000878044635521
EleutherAI_pythia-6.9b-deduped — Raw counts,lex_emb_norm,0.0037774064278293
EleutherAI_pythia-6.9b-deduped — Raw counts,log_frequency,0.0042195059143664
EleutherAI_pythia-6.9b-deduped — Raw counts,profession_embedding,0.4964936246049946
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",5.7061232445051015e-05
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(semantic_role),8.292639094502574e-05
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(syntactic_role),0.0011487498212808
EleutherAI_pythia-6.9b-deduped — TF-IDF,C(tense),0.0026311513221793
EleutherAI_pythia-6.9b-deduped — TF-IDF,"C(valence, Treatment(reference='-val'))",0.000878044635521
EleutherAI_pythia-6.9b-deduped — TF-IDF,lex_emb_norm,0.0244911565422488
EleutherAI_pythia-6.9b-deduped — TF-IDF,log_frequency,0.0199113024876217
EleutherAI_pythia-6.9b-deduped — TF-IDF,profession_embedding,0.6597523882026481
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",5.706123244505812e-05
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(semantic_role),8.292639094502174e-05
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(syntactic_role),0.0011487498212808
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(tense),0.0026311513221793
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.000878044635521
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,lex_emb_norm,0.0029108831398257
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,log_frequency,0.0158548569257978
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding,0.4520685971217426
Qwen_Qwen3-4B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",7.808908024023697e-05
Qwen_Qwen3-4B-Base — PPMI,C(semantic_role),0.0020073104622912
Qwen_Qwen3-4B-Base — PPMI,C(syntactic_role),0.012958592785418
Qwen_Qwen3-4B-Base — PPMI,C(tense),0.0034350113818988
Qwen_Qwen3-4B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0015795509985049
Qwen_Qwen3-4B-Base — PPMI,lex_emb_norm,0.0025768191732407
Qwen_Qwen3-4B-Base — PPMI,log_frequency,0.0231788273471097
Qwen_Qwen3-4B-Base — PPMI,profession_embedding,0.2800096416197553
Qwen_Qwen3-4B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",7.808908024019078e-05
Qwen_Qwen3-4B-Base — Raw counts,C(semantic_role),0.0020073104622911
Qwen_Qwen3-4B-Base — Raw counts,C(syntactic_role),0.012958592785418
Qwen_Qwen3-4B-Base — Raw counts,C(tense),0.0034350113818988
Qwen_Qwen3-4B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.0015795509985049
Qwen_Qwen3-4B-Base — Raw counts,lex_emb_norm,0.0002143663638149
Qwen_Qwen3-4B-Base — Raw counts,log_frequency,0.0013102876980189
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding,0.5172937475991537
Qwen_Qwen3-4B-Base — TF-IDF,"C(dominance, Treatment(reference='-dom'))",7.808908024018368e-05
Qwen_Qwen3-4B-Base — TF-IDF,C(semantic_role),0.0020073104622911
Qwen_Qwen3-4B-Base — TF-IDF,C(syntactic_role),0.012958592785418
Qwen_Qwen3-4B-Base — TF-IDF,C(tense),0.0034350113818988
Qwen_Qwen3-4B-Base — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0015795509985048
Qwen_Qwen3-4B-Base — TF-IDF,lex_emb_norm,0.0096842332244381
Qwen_Qwen3-4B-Base — TF-IDF,log_frequency,0.0128790488168199
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding,0.6974154965706001
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",7.808908024022254e-05
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(semantic_role),0.0020073104622911
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(syntactic_role),0.012958592785418
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(tense),0.0034350113818988
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0015795509985049
Qwen_Qwen3-4B-Base — log(1 + x) counts,lex_emb_norm,0.0046757807058692
Qwen_Qwen3-4B-Base — log(1 + x) counts,log_frequency,0.022981700549665
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding,0.4648173913474306
Qwen_Qwen3-8B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0004732368368153
Qwen_Qwen3-8B-Base — PPMI,C(semantic_role),0.0006363306162676
Qwen_Qwen3-8B-Base — PPMI,C(syntactic_role),0.0107648875379946
Qwen_Qwen3-8B-Base — PPMI,C(tense),0.007465804424758
Qwen_Qwen3-8B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0032597874995638
Qwen_Qwen3-8B-Base — PPMI,log_frequency,0.018221304496601
Qwen_Qwen3-8B-Base — PPMI,profession_embedding,0.2873290988397709
Qwen_Qwen3-8B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154
Qwen_Qwen3-8B-Base — Raw counts,C(semantic_role),0.0006363306162677
Qwen_Qwen3-8B-Base — Raw counts,C(syntactic_role),0.0107648875379946
Qwen_Qwen3-8B-Base — Raw counts,C(tense),0.007465804424758
Qwen_Qwen3-8B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.0032597874995638
Qwen_Qwen3-8B-Base — Raw counts,lex_emb_norm,0.0025205351574035
Qwen_Qwen3-8B-Base — Raw counts,log_frequency,0.0005904600564557
Qwen_Qwen3-8B-Base — Raw counts,profession_embedding,0.4957910936276729
Qwen_Qwen3-8B-Base — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154
Qwen_Qwen3-8B-Base — TF-IDF,C(semantic_role),0.0006363306162677
Qwen_Qwen3-8B-Base — TF-IDF,C(syntactic_role),0.0107648875379946
Qwen_Qwen3-8B-Base — TF-IDF,C(tense),0.007465804424758
