target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_10,0.022948824405174,0.0588031115592384
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_9,0.018110815135011,0.0464063981670749
EleutherAI_pythia-12b-deduped — PPMI,C(tense),0.0064097074246599,0.0164239672629757
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_8,0.0047140001604939,0.0120789576160291
EleutherAI_pythia-12b-deduped — PPMI,profession_embedding_6,0.0040936559151685,0.010489413366661
EleutherAI_pythia-12b-deduped — PPMI,lex_emb_norm,0.0033988532183362,0.0087090798832483
EleutherAI_pythia-12b-deduped — PPMI,C(syntactic_role),0.0004978584682766,0.0012756917972749
EleutherAI_pythia-12b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",4.6426537297139525e-05,0.0001189614249424
EleutherAI_pythia-12b-deduped — PPMI,C(semantic_role),3.358157852484389e-05,8.604803773244702e-05
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_2,0.2172576770627815,0.4206916562860366
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_9,0.2081362157020891,0.4030291150149639
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_8,0.0347888059210277,0.0673640654774257
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_4,0.0273491231331475,0.0529580729408692
EleutherAI_pythia-12b-deduped — Raw counts,log_frequency,0.0142143984326751,0.0275243613970139
EleutherAI_pythia-12b-deduped — Raw counts,C(tense),0.0064097074246599,0.0124115772075105
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_6,0.0032976709117211,0.0063855172185117
EleutherAI_pythia-12b-deduped — Raw counts,lex_emb_norm,0.0023458394853217,0.0045424176112129
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_10,0.0007792644768986,0.0015089458191005
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_7,0.0006553993881226,0.0012690969444476
EleutherAI_pythia-12b-deduped — Raw counts,C(syntactic_role),0.0004978584682763,0.0009640391375199
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_5,0.0004591044354298,0.0008889969181316
EleutherAI_pythia-12b-deduped — Raw counts,profession_embedding_3,0.0001586536992717,0.0003072125617141
EleutherAI_pythia-12b-deduped — Raw counts,"C(dominance, Treatment(reference='-dom'))",4.64265372970285e-05,8.989904124524158e-05
EleutherAI_pythia-12b-deduped — Raw counts,C(semantic_role),3.358157852473287e-05,6.502642429609984e-05
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_2,0.1560369095617074,0.4533216882592729
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_9,0.05744390330295,0.1668872275068837
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_10,0.0371142804172626,0.1078251825452101
EleutherAI_pythia-12b-deduped — TF-IDF,lex_emb_norm,0.031089357281856,0.0903214500305979
EleutherAI_pythia-12b-deduped — TF-IDF,log_frequency,0.0287248957085304,0.0834521668894815
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_3,0.0104696178256586,0.0304165523496224
EleutherAI_pythia-12b-deduped — TF-IDF,C(tense),0.0064097074246599,0.0186216158674032
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_8,0.0061767606358901,0.0179448539919191
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_4,0.0057331838029006,0.0166561653132705
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_7,0.0024220047949699,0.0070364589103426
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_6,0.0014402469463932,0.0041842355060937
EleutherAI_pythia-12b-deduped — TF-IDF,C(syntactic_role),0.0004978584682764,0.0014463888190761
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_5,0.0003715408128568,0.0010794081285933
EleutherAI_pythia-12b-deduped — TF-IDF,profession_embedding_1,0.0001976320067611,0.0005741646332953
EleutherAI_pythia-12b-deduped — TF-IDF,"C(dominance, Treatment(reference='-dom'))",4.64265372970285e-05,0.000134879345705
EleutherAI_pythia-12b-deduped — TF-IDF,C(semantic_role),3.358157852484389e-05,9.756190323208932e-05
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_6,0.1627473369741799,0.4016817083432892
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_4,0.0971724826966001,0.2398343934790257
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_1,0.0363492589478319,0.0897147240786751
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,log_frequency,0.033343266681753,0.0822955421052284
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_5,0.024875842046989,0.0613968309140298
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_2,0.0162799086480658,0.0401809432891995
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_9,0.0115119175288354,0.0284129177488371
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_10,0.0050307353487668,0.0124165126550503
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(tense),0.0046743460040292,0.0115368971510974
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,lex_emb_norm,0.0043408697651161,0.0107138341884157
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_7,0.0031174379299079,0.0076942444443084
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0015592697253793,0.0038484815709009
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0014370872941891,0.003546919354262
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_8,0.0012825069111276,0.0031653947560785
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,profession_embedding_3,0.0007880406585402,0.0019449873887437
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(semantic_role),0.0006236061522624,0.0015391415259464
EleutherAI_pythia-2.8b-deduped — log(1 + x) counts,C(syntactic_role),3.10060585849703e-05,7.652700691120314e-05
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_4,0.1052382210501784,0.2292042099973284
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_5,0.081990822934195,0.1785724008837295
EleutherAI_pythia-2.8b-deduped — PPMI,log_frequency,0.0681470998030142,0.1484213816813895
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_3,0.0542486849361775,0.1181512462878092
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_9,0.0390925165371834,0.0851417791017234
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_1,0.0251811174652208,0.054843364681297
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_6,0.0196977015586407,0.042900726365934
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_10,0.017107210573432,0.0372587511040484
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_7,0.0166393900313371,0.0362398585695552
EleutherAI_pythia-2.8b-deduped — PPMI,lex_emb_norm,0.0100808509165355,0.021955649262863
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_2,0.0075881264635011,0.0165266052017101
EleutherAI_pythia-2.8b-deduped — PPMI,profession_embedding_8,0.0058090509005404,0.0126518569888955
EleutherAI_pythia-2.8b-deduped — PPMI,C(tense),0.0046743460040291,0.0101805197048782
EleutherAI_pythia-2.8b-deduped — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0015592697253791,0.0033960207803956
EleutherAI_pythia-2.8b-deduped — PPMI,"C(valence, Treatment(reference='-val'))",0.0014370872941888,0.0031299128270584
EleutherAI_pythia-2.8b-deduped — PPMI,C(semantic_role),0.0006236061522624,0.0013581867315167
EleutherAI_pythia-2.8b-deduped — PPMI,C(syntactic_role),3.100605858474825e-05,6.752982986722633e-05
