target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
Qwen_Qwen3-4B-Base — log(1 + x) counts,profession_embedding,0.4648173913474306,0.0010344881594365,0.906901611833986,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,log_frequency,0.022981700549665,0.0009655429661404,0.0448394179287465,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(syntactic_role),0.012958592785418,6.880410798583664e-18,0.0252834100078059,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,lex_emb_norm,0.0046757807058692,0.0002187990467808,0.0091228795171423,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(tense),0.0034350113818988,6.529339470744551e-18,0.0067020241000054,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,C(semantic_role),0.0020073104622911,6.645904654124197e-18,0.0039164478945719,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0015795509985049,6.134730791250998e-18,0.0030818497181559,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",7.808908024022254e-05,6.4377589510335845e-18,0.0001523589995873,500,0,0.0,0.5125334273113172
Qwen_Qwen3-4B-Base — PPMI,profession_embedding,0.2800096416197553,0.0010421951144459,0.8593896602895001,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,log_frequency,0.0231788273471097,0.0009752766102695,0.0711391380829375,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,C(syntactic_role),0.012958592785418,7.450348578170635e-18,0.0397717756691157,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,C(tense),0.0034350113818988,6.647363616985321e-18,0.0105425414907296,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,lex_emb_norm,0.0025768191732407,0.0001321138921667,0.0079086267926662,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,C(semantic_role),0.0020073104622912,6.6937257727703385e-18,0.0061607230604815,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0015795509985049,7.179629664249045e-18,0.0048478680525525,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",7.808908024023697e-05,7.408555658768212e-18,0.0002396665620218,500,0,0.0,0.3258238428484574
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding,0.5172937475991537,4.8299366939785285e-05,0.9599477978876624,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,C(syntactic_role),0.012958592785418,7.193533214838228e-18,0.0240474056874244,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,C(tense),0.0034350113818988,6.394995457980075e-18,0.0063743890721215,500,0,0.0,0.5388769563693399
Qwen_Qwen3-4B-Base — Raw counts,C(semantic_role),0.0020073104622911,6.2451389811425445e-18,0.0037249884942479,500,0,0.0,0.5388769563693399
