predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
"male_perc:C(dominance, Treatment(reference='-dom'))",0.15577811804784072,0.010747774031940162,0.2928776609531435,500,0,0.5318880161118302
male_perc,0.13148512493219178,0.010194994079407866,0.24720452604547277,500,0,0.5318880161118302
"male_perc:C(valence, Treatment(reference='-val'))",0.12426284232577549,0.009997444978433297,0.2336259486238341,500,0,0.5318880161118302
male_perc:C(semantic_role),0.11511950590192503,0.009721157179374442,0.2164356075240488,500,0,0.5318880161118302
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0016902540276007565,3.469895397640936e-05,0.0031778381471286583,500,0,0.5318880161118302
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.001236428013756279,6.312754395111234e-05,0.0023246021273326044,500,0,0.5318880161118302
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0010683838995601948,4.202051692131924e-05,0.0020086632283430983,500,0,0.5318880161118302
C(semantic_role),0.0007587633547460435,4.357178657031214e-05,0.0014265471899380271,500,0,0.5318880161118302
"C(valence, Treatment(reference='-val'))",0.00046438799356044027,3.221509343783441e-05,0.000873093545057052,500,0,0.5318880161118302
"C(dominance, Treatment(reference='-dom'))",2.420761487445211e-05,1.616759520641492e-06,4.551261570323183e-05,500,0,0.5318880161118302
