predictor,unique_r2,relative_r2
profession_embedding_6,0.15720529018597484,0.38474353626412716
profession_embedding_4,0.13124075622363762,0.3211980499620963
log_frequency,0.024855858032270306,0.06083211770355529
profession_embedding_1,0.023622690768617338,0.057814069562416276
C(syntactic_role),0.01818290499815256,0.044500761776323595
profession_embedding_10,0.013988549654382232,0.0342355149426995
profession_embedding_5,0.01392683580561982,0.03408447674047851
profession_embedding_9,0.007920223244122893,0.0193839195572888
C(tense),0.005654865721686386,0.013839693513409001
profession_embedding_2,0.004155431776811325,0.0101699854669226
profession_embedding_3,0.0030433078792462265,0.00744817832794622
"C(valence, Treatment(reference='-val'))",0.0014521845421635593,0.0035540700659573393
profession_embedding_8,0.001285700848926652,0.0031466186068461084
profession_embedding_7,0.0012299943884731546,0.003010282860369121
lex_emb_norm,0.0005396151895930013,0.0013206518433332664
"C(dominance, Treatment(reference='-dom'))",0.00015239754761575686,0.0003729770882284091
C(semantic_role),0.000141005286319551,0.0003450957180024965
