profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6174143733334578,0.016202487474622912,-0.03734673709956228
carpenter,2.4495247698336153,0.17314021866673168,-0.021885338658609588
cashier,-0.9266081606137077,-0.0358035264662168,0.17841356445188805
ceo,0.3709076692667409,0.09519561796301887,0.03802646332401347
cleaner,-0.6058978516525322,-0.09970447449436519,-0.1567988331413233
cook,-0.1515899139599334,0.015395524574702262,0.14104464109414747
designer,-0.026268457789409,0.03829500273293742,0.16946439512651526
driver,1.2063722950405888,0.02213019688823819,-0.11992370212432037
lawyer,1.0210311348886953,-0.025657429051039564,-0.34460755569980994
manager,0.38126423030138534,0.005329439748005997,0.02262769731333559
receptionist,-1.9292080709213943,-0.05371654033935525,0.008662328516869919
salesperson,0.04420396950924874,-0.010605949332124973,0.07383171120211689
secretary,-1.6727699569234287,-0.07676112202480696,-0.03146448629243861
teacher,-0.7783760302962055,-0.06343944633954503,0.07995585198648063
